11000,121,  11000/121/8,גביה שוטפת-מגורים               ,"720,000,000","670,000,000","673,211,773",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
32400,441,  32400/441/3,הכנסות מאגודות ספורט            ,"40,000","40,000","40,000",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,324,השתתפות בספורט                    ,3240,השתתפות בספורט                    ,32400,השתתפות בספורט                    
32400,741,  32400/741/3,הכנסות מהטוטו לפעולות ספורט     ,  -   ,  -   ,  -   ,3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,324,השתתפות בספורט                    ,3240,השתתפות בספורט                    ,32400,השתתפות בספורט                    
32400,921,  32400/921/5,השת' הממשלה לאגודות ספורט       ,"200,000","200,000","171,131",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,324,השתתפות בספורט                    ,3240,השתתפות בספורט                    ,32400,השתתפות בספורט                    
32400,922,  32400/922/6,השת' הממשלה - יוזמות בספורט     ,"600,000","600,000","708,507",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,324,השתתפות בספורט                    ,3240,השתתפות בספורט                    ,32400,השתתפות בספורט                    
32400,923,  32400/923/7,השת' הממשלה למועדוני ספורט בי ס ,"200,000","200,000","142,423",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,324,השתתפות בספורט                    ,3240,השתתפות בספורט                    ,32400,השתתפות בספורט                    
32400,925,  32400/925/9,השת' ממ' במרכזי מצוינות         ,"200,000","200,000","200,000",3,תקבולים משרותים ממלכתיים          ,32,תרבות                             ,324,השתתפות בספורט                    ,3240,השתתפות בספורט                    ,32400,השתתפות בספורט                    
,,,,"6,560,000","6,810,000","7,889,657",,,"32 סה""כ",,,,,,,
33200,410,  33200/410/8,דמי טפול בתחנות לבריאות המשפחה  ,"30,000","30,000","21,204",3,תקבולים משרותים ממלכתיים          ,33,בריאות                            ,332,תחנות לבריאות המשפחה ושרותי בריאוך,3320,תחנות לבריאות המשפחה ושרותי בריאוך,33200,תחנות לבריאות המשפחה ושרותי בריאוך
33200,421,  33200/421/2,הכנסות ממשתתפים-בריאות בקהילה   ,"30,000","30,000","27,730",3,תקבולים משרותים ממלכתיים          ,33,בריאות                            ,332,תחנות לבריאות המשפחה ושרותי בריאוך,3320,תחנות לבריאות המשפחה ושרותי בריאוך,33200,תחנות לבריאות המשפחה ושרותי בריאוך
33200,940,  33200/940/2,השת' ממשלה בתחנות לבריאות המשפחה,"9,000,000","9,000,000","10,513,095",3,תקבולים משרותים ממלכתיים          ,33,בריאות                            ,332,תחנות לבריאות המשפחה ושרותי בריאוך,3320,תחנות לבריאות המשפחה ושרותי בריאוך,33200,תחנות לבריאות המשפחה ושרותי בריאוך
33300,410,  33300/410/6,דמי טיפול במרפאות מעקב          ,  -   ,"5,000","1,195",3,תקבולים משרותים ממלכתיים          ,33,בריאות                            ,333,מרפאות מעקב אחר לידה              ,3330,מרפאות מעקב אחר לידה              ,33300,מרפאות מעקב אחר לידה              
33600,410,  33600/410/9,אגרת שרותים בבתיה ס-בריאות השן  ,  -   ,  -   ,"395,314",3,תקבולים משרותים ממלכתיים          ,33,בריאות                            ,336,שרותי בריאות השן                  ,3360,שרותי בריאות השן                  ,33600,שרותי בריאות השן                  
33600,940,  33600/940/3,השתתפות הממשלה-בריאות השן       ,"900,000","800,000","1,361,527",3,תקבולים משרותים ממלכתיים          ,33,בריאות                            ,336,שרותי בריאות השן                  ,3360,שרותי בריאות השן                  ,33600,שרותי בריאות השן                  
33600,991,  33600/991/5,השתתפות הממשלה בטיפולי שינים לקש,"100,000",  -   ,  -   ,3,תקבולים משרותים ממלכתיים          ,33,בריאות                            ,336,שרותי בריאות השן                  ,3360,שרותי בריאות השן                  ,33600,שרותי בריאות השן                  
33700,940,  33700/940/1,השת' ממשלה-תכניות רווחה בבריאות ,"20,000","20,000","13,008",3,תקבולים משרותים ממלכתיים          ,33,בריאות                            ,337,השת' ממשלה-רווחה ושיקום שכונות    ,3370,השת' ממשלה-רווחה ושיקום שכונות    ,33700,השת' ממשלה-רווחה ושיקום שכונות    
,,,,"10,080,000","9,885,000","12,333,073",,,"33 סה""כ",,,,,,,
34200,421,  34200/421/1,הכנסות מיעוץ נישואין- אגף דרום  ,"35,000","35,000","38,659",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,422,  34200/422/2,הכנסות מיעוץ נישואין-אגף מרכז   ,"30,000","30,000","36,145",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,423,  34200/423/3,הכנסות מיעוץ נישואין-אגף מזרח   ,  -   ,  -   ,  -   ,3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,424,  34200/424/4,דמי רישום והדרכה -משפחתונים     ,"60,000","55,000","76,615",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,425,  34200/425/5,השתתפות קשישים בארוחות          ,"150,000","150,000","125,402",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,426,  34200/426/6,הכנסות מדמי שימוש בנכסי המינהל  ,"60,000","60,000","70,940",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,428,  34200/428/8,השתתפות מטופלי סמים             ,"150,000","150,000","103,710",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,429,  34200/429/9,השת' הקשיש בהוצ' מכירת נכסים    ,"200,000","200,000","43,707",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,441,  34200/441/5,הכנסות מהרשות לשיקום האסיר      ,  -   ,  -   ,280,3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,445,  34200/445/9,הכנסות מעמותות להעסקת בנות ש ל  ,"20,000","50,000","45,150",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,446,  34200/446/1,הכנסות מהרשות הארצית למלחמה בסמי,"50,000","50,000","72,200",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34200,448,  34200/448/3,הכנסות למועדון מכורי סמים-מהרשות,"115,000","115,000","135,000",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,342,הכנסות מפעו' המנהל לשירותים חבר'  ,3420,הכנסות מפעו' המנהל לשירותים חבר'  ,34200,הכנסות מפעו' המנהל לשירותים חבר'  
34300,410,  34300/410/5,השתתפות הורים לטפול בילד ובנוער ,"600,000","550,000","500,913",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,343,הכנסות מטפול בילד  בנער ובזקן     ,3430,הכנסות מטפול בילד  בנער ובזקן     ,34300,הכנסות מטפול בילד  בנער ובזקן     
34300,420,  34300/420/7,השת' קרובים בטיפול בזקן         ,"1,700,000","2,200,000","2,051,738",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,343,הכנסות מטפול בילד  בנער ובזקן     ,3430,הכנסות מטפול בילד  בנער ובזקן     ,34300,הכנסות מטפול בילד  בנער ובזקן     
34300,430,  34300/430/9,גבייה מגופים-נדחי חב ס          ,"30,000","30,000","22,500",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,343,הכנסות מטפול בילד  בנער ובזקן     ,3430,הכנסות מטפול בילד  בנער ובזקן     ,34300,הכנסות מטפול בילד  בנער ובזקן     
34300,440,  34300/440/2,השת' זקנים בהעסקת סמך מקצועי    ,"50,000","50,000","60,025",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,343,הכנסות מטפול בילד  בנער ובזקן     ,3430,הכנסות מטפול בילד  בנער ובזקן     ,34300,הכנסות מטפול בילד  בנער ובזקן     
34300,450,  34300/450/4,השת' הורים בסידור מפגרים ונכים  ,"1,600,000","1,500,000","1,569,979",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,343,הכנסות מטפול בילד  בנער ובזקן     ,3430,הכנסות מטפול בילד  בנער ובזקן     ,34300,הכנסות מטפול בילד  בנער ובזקן     
34300,460,  34300/460/6,השת' משפחות בהעסקת סמך מקצועי   ,"10,000","10,000","5,044",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,343,הכנסות מטפול בילד  בנער ובזקן     ,3430,הכנסות מטפול בילד  בנער ובזקן     ,34300,הכנסות מטפול בילד  בנער ובזקן     
34300,480,  34300/480/1,השת' משפחות באחז'קשישים בג.השלוש,"300,000","500,000","403,173",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,343,הכנסות מטפול בילד  בנער ובזקן     ,3430,הכנסות מטפול בילד  בנער ובזקן     ,34300,הכנסות מטפול בילד  בנער ובזקן     
34300,490,  34300/490/3,הכנסות שונות                    ,"10,000","10,000",  -   ,3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,343,הכנסות מטפול בילד  בנער ובזקן     ,3430,הכנסות מטפול בילד  בנער ובזקן     ,34300,הכנסות מטפול בילד  בנער ובזקן     
34510,931,  34510/931/9,שכר עבודה והוצאות מינהל         ,"30,000,000","28,000,000","28,008,471",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3451,השתתפות הממשלה- כללי              ,34510,השתתפות הממשלה- כללי              
34510,932,  34510/932/1,השתת' לאבטחת מוסדות רווחה       ,"100,000","120,000","104,312",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3451,השתתפות הממשלה- כללי              ,34510,השתתפות הממשלה- כללי              
34510,933,  34510/933/2,השתתפות לתוכנית תעסוקה          ,"3,780,000",  -   ,  -   ,3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3451,השתתפות הממשלה- כללי              ,34510,השתתפות הממשלה- כללי              
34520,931,  34520/931/6,משפחות במצוקה                   ,"770,000","770,000","1,229,786",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3452,טיפול במשפחה                    ונ,34520,טיפול במשפחה                    ונ
34520,932,  34520/932/7,סיוע למשפחות עם ילדים           ,"725,000","725,000","679,525",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3452,טיפול במשפחה                    ונ,34520,טיפול במשפחה                    ונ
34520,933,  34520/933/8,טיפול באלכוהוליסטים             ,"900,000","900,000","840,489",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3452,טיפול במשפחה                    ונ,34520,טיפול במשפחה                    ונ
34520,934,  34520/934/9,טיפול בדרי רחוב                 ,"1,675,000","1,470,000","1,582,507",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3452,טיפול במשפחה                    ונ,34520,טיפול במשפחה                    ונ
34520,935,  34520/935/1,תוכנית ארצית לטיפול בדרי רחוב   ,"1,350,000","825,000","881,015",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3452,טיפול במשפחה                    ונ,34520,טיפול במשפחה                    ונ
34520,936,  34520/936/2,טיפול באלימות במשפחה            ,"1,750,000","1,750,000","1,564,408",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3452,טיפול במשפחה                    ונ,34520,טיפול במשפחה                    ונ
34520,937,  34520/937/3,משפחות שכולות תאונות דרכים      ,"180,000","180,000","126,871",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3452,טיפול במשפחה                    ונ,34520,טיפול במשפחה                    ונ
34520,938,  34520/938/4,תוכנית לטיפול בזנות ובסחר בנשים ,"5,430,000","3,800,000","3,058,658",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3452,טיפול במשפחה                    ונ,34520,טיפול במשפחה                    ונ
34520,939,  34520/939/5,הוצ' אחרות לטיפול במשפחה        ,"125,000","125,000","204,785",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3452,טיפול במשפחה                    ונ,34520,טיפול במשפחה                    ונ
34531,931,  34531/931/8,סידור ילדים בפנימיות            ,"34,770,000","33,310,000","32,529,773",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34531,סידור ילדים במוסדות             ונ
34531,932,  34531/932/9,סידור במשפחות אמנה              ,"1,275,000","1,275,000","1,438,326",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34531,סידור ילדים במוסדות             ונ
34531,933,  34531/933/1,סידור ילדים במעונות יום         ,"11,320,000","11,790,000","10,050,695",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34531,סידור ילדים במוסדות             ונ
34531,934,  34531/934/2,משפחתונים-ילדי נשים עובדות      ,"2,150,000","1,550,000","1,702,611",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34531,סידור ילדים במוסדות             ונ
34531,935,  34531/935/3,סידור ילדים במפתנים             ,"950,000","965,000","602,750",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34531,סידור ילדים במוסדות             ונ
34531,936,  34531/936/4,ילדים במעונות חסות              ,  -   ,"50,000",  -   ,3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34531,סידור ילדים במוסדות             ונ
34531,938,  34531/938/6,תוכנית ביתית לקהילה האתיופית    ,"220,000","210,000","227,731",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34531,סידור ילדים במוסדות             ונ
34532,791,  34532/791/1,השת' האג' לק.החינוך-תוכ'-יש מצב ,  -   ,"205,000","182,585",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34532,טיפול בילד ובנוער               ונ
34532,931,  34532/931/4,מרכז חרום לילדים בסיכון         ,"300,000","350,000","380,470",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34532,טיפול בילד ובנוער               ונ
34532,932,  34532/932/5,יצירת קשר הורים וילדים          ,"450,000","315,000","360,711",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34532,טיפול בילד ובנוער               ונ
34532,933,  34532/933/6,מועדוניות משותפות               ,"900,000","550,000","930,587",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34532,טיפול בילד ובנוער               ונ
34532,934,  34532/934/7,טיפול בילד בקהילה               ,"1,980,000","1,870,000","1,582,176",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34532,טיפול בילד ובנוער               ונ
34532,935,  34532/935/8,מרכז הורים וילדים               ,"480,000","450,000","524,544",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34532,טיפול בילד ובנוער               ונ
34532,936,  34532/936/9,טיפול בנוער ובצעירים            ,"2,290,000","920,000","797,581",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34532,טיפול בילד ובנוער               ונ
34532,939,  34532/939/3,השת' לתכ' לאומית לילדים בסיכון  ,"1,330,000","1,430,000","932,381",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34532,טיפול בילד ובנוער               ונ
34532,961,  34532/961/1,השתת' משרד התמ ת למשפחתונים     ,"250,000","250,000","190,400",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3453,טיפול בילד ובנער                ונ,34532,טיפול בילד ובנוער               ונ
34540,931,  34540/931/9,מסגרות יומיות לזקן              ,"2,070,000","2,070,000","1,900,593",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3454,טיפול בקשיש                     ונ,34540,טיפול בקשיש                     ונ
34540,932,  34540/932/1,עזרה לקשיש                      ,"185,000","215,000","369,124",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3454,טיפול בקשיש                     ונ,34540,טיפול בקשיש                     ונ
34540,933,  34540/933/2,החזקת קשישים במוסדות)+ג.השלושה( ,"13,970,000","13,180,000","12,651,563",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3454,טיפול בקשיש                     ונ,34540,טיפול בקשיש                     ונ
34540,934,  34540/934/3,מועדונים לקשישים                ,"400,000","485,000","444,686",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3454,טיפול בקשיש                     ונ,34540,טיפול בקשיש                     ונ
34540,935,  34540/935/4,דיור תומך                       ,"525,000","525,000","466,194",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3454,טיפול בקשיש                     ונ,34540,טיפול בקשיש                     ונ
34540,936,  34540/936/5,טיפול בזקן בקהילה               ,"1,645,000","1,520,000","1,402,686",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3454,טיפול בקשיש                     ונ,34540,טיפול בקשיש                     ונ
34540,937,  34540/937/6,תעסוקה לגיל השלישי              ,  -   ,"60,000","28,817",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3454,טיפול בקשיש                     ונ,34540,טיפול בקשיש                     ונ
34551,931,  34551/931/2,סידור מפגרים במוסדות ממשלתיים   ,"17,990,000","18,900,000","18,079,538",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34551,סידור מפגרים במוסדות            ונ
34551,932,  34551/932/3,סידור מפגרים במוסדות אחרים      ,"57,650,000","54,180,000","51,944,704",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34551,סידור מפגרים במוסדות            ונ
34551,933,  34551/933/4,סידור אוטיסטים בפנימיות         ,"10,500,000","8,465,000","8,131,868",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34551,סידור מפגרים במוסדות            ונ
34551,934,  34551/934/5,סידור מפגרים במעונות-נדחי חוק   ,"4,850,000","4,500,000","4,358,416",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34551,סידור מפגרים במוסדות            ונ
34551,935,  34551/935/6,סידור מפגרים במע שים            ,"2,410,000","2,030,000","1,867,795",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34551,סידור מפגרים במוסדות            ונ
34551,936,  34551/936/7,סידור מפגרים במעונות-זכאי חוק   ,  -   ,"40,000",  -   ,3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34551,סידור מפגרים במוסדות            ונ
34551,937,  34551/937/8,פרויקט סביבה תומכת למפגר        ,"440,000","430,000","373,524",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34551,סידור מפגרים במוסדות            ונ
34551,938,  34551/938/9,סידור אוטיסטים במעונות          ,"850,000","665,000","594,330",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34551,סידור מפגרים במוסדות            ונ
34552,931,  34552/931/7,טיפול במשפחות אמנה              ,"250,000","200,000","313,070",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34552,טיפול באדם המפגר                ונ
34552,932,  34552/932/8,טיפול במפגר בקהילה              ,"330,000","320,000","255,090",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34552,טיפול באדם המפגר                ונ
34552,933,  34552/933/9,שרות תומך למפגר                 ,"500,000","260,000","590,393",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34552,טיפול באדם המפגר                ונ
34552,934,  34552/934/1,טיפול באוטיסטים בקהילה          ,"1,350,000","1,250,000","1,018,152",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34552,טיפול באדם המפגר                ונ
34552,935,  34552/935/2,הסעות למעונות יום               ,"2,200,000","1,580,000","1,360,460",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3455,טיפול וסידור למפגר              ונ,34552,טיפול באדם המפגר                ונ
34561,931,  34561/931/8,סידור ילדים עיוורים במוסדות     ,"305,000","350,000","311,537",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34561,סידור נכים במוסדות              ונ
34561,932,  34561/932/9,אחזקת נכים בפנימיות             ,"20,230,000","18,000,000","16,895,168",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34561,סידור נכים במוסדות              ונ
34561,933,  34561/933/1,תעסוקה מוגנת למוגבל             ,"955,000","955,000","824,704",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34561,סידור נכים במוסדות              ונ
34561,934,  34561/934/2,מרכז יום שיקומי לנכים           ,"1,900,000","1,950,000","1,472,827",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34561,סידור נכים במוסדות              ונ
34561,935,  34561/935/3,מוסדות יום לילד המוגבל          ,"300,000","360,000","217,092",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34561,סידור נכים במוסדות              ונ
34561,936,  34561/936/4,מרכז יום לנכים קשים             ,"885,000","820,000","783,298",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34561,סידור נכים במוסדות              ונ
34561,937,  34561/937/5,קהילה תומכת לנכים               ,"280,000","280,000","213,763",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34561,סידור נכים במוסדות              ונ
34561,938,  34561/938/6,תעסוקה תומכת לנכים              ,"355,000","355,000","121,786",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34561,סידור נכים במוסדות              ונ
34562,931,  34562/931/4,מפעלי שיקום ותעסוקה לעיוור      ,"790,000","660,000","597,651",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34562,טיפול בנכה בקהילה               ונ
34562,932,  34562/932/5,מועדוניות לעיוורים              ,"695,000","470,000","555,035",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34562,טיפול בנכה בקהילה               ונ
34562,933,  34562/933/6,עזרה אחרת לעיוור                ,"290,000","290,000","218,844",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34562,טיפול בנכה בקהילה               ונ
34562,934,  34562/934/7,טיפול בנכים בקהילה              ,"1,330,000","1,180,000","930,082",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34562,טיפול בנכה בקהילה               ונ
34562,936,  34562/936/9,שיקום נכים ביתי                 ,"150,000","150,000","105,882",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3456,טיפול באנשים עם נכויות          ונ,34562,טיפול בנכה בקהילה               ונ
