,,,,ה צ ע ת  התקציב הרגיל לשנת: 2015,תקציב,אומדן,תקציב,תקציב,ביצוע
"תיגבור, יוזמות והעשרה בחינוך",81 ,782 ,813600 ,תוכנית עירונית להורים,63,112,112,75,15
"תיגבור, יוזמות והעשרה בחינוך",81 ,783 ,813600 ,תוכנית בית ספר מנגן (ב- 2014 הופרד מסעיף 8136/789),225,285,285,150,0
"תיגבור, יוזמות והעשרה בחינוך",81 ,784 ,813600 ,הוצאות להפעלת יוזמות ופרוייקטים פדגוגיים (ב- 2014 נכלל בסעיף 8152/784),0,0,0,0,63
"תיגבור, יוזמות והעשרה בחינוך",81 ,785 ,813600 ,הפעלת הפורטל החינוכי,320,350,350,410,451
"תיגבור, יוזמות והעשרה בחינוך",81 ,786 ,813600 ,הפעלת פנימיות יום,233,200,210,270,152
"תיגבור, יוזמות והעשרה בחינוך",81 ,787 ,813600 ,הצטיידות תוכנית תיקשוב,0,0,0,0,731
"תיגבור, יוזמות והעשרה בחינוך",81 ,788 ,813600 ,"תוכנית מוסיקלית לבתי הספר - ""מפתח""",279,400,400,400,451
"תיגבור, יוזמות והעשרה בחינוך",81 ,789 ,813600 ,"פרוייקט ""ק""מ של תרבות"" (יסודיים ותיכוניים) (מ - 2014 ""בית ספר מנגן"" בסעיף 783)",150,220,220,120,296
"תיגבור, יוזמות והעשרה בחינוך",82 ,871 ,813600 ,"מרכז מדעים לגיל הרך בנוה עמל (במתנ""ס פוסטר) ",330,355,355,355,355
"תיגבור, יוזמות והעשרה בחינוך",82 ,873 ,813600 ,"הפעלת מרכז למידה בנוה ישראל - באמצעות המתנ""ס ",422,416,416,416,390
"תיגבור, יוזמות והעשרה בחינוך",82 ,875 ,813600 ,"הפעלת פרוייקט מורים צעירים (באמצעות מתנ""ס נוה ישראל)",102,100,100,100,69
"תיגבור, יוזמות והעשרה בחינוך",82 ,877 ,813600 ,"בתי""ס קהילתיים (יסודיים ועל יסודיים)",175,190,190,190,186
,,,8136.,"סה""כ - תיגבור, יוזמות והעשרה נוספים במערכת בחינוך:","4,922","5,879","5,895","5,705","5,405"
,,,813601.,"ייעוץ, ליווי והדרכה, הערכה, מידע ובקרה  ",,,,,
"ייעוץ, ליווי והדרכה, הערכה, מידע ובקרה",81 ,780 ,813601 ,"הערכת תוכניות חינוכיות 
",284,284,284,284,284
"ייעוץ, ליווי והדרכה, הערכה, מידע ובקרה",81 ,784 ,813601 ,דמוקרטיה - ליווי צוותי היגוי,0,15,15,15,25
,,,813601.,"סה""כ - הערכה, מידע ובקרה:",284,299,299,299,309
,,,8138.,בתי ספר של החופש הגדול  (בהשתתפות משרד החינוך),,,,,
"הפעלת בתי""ס של החופש הגדול",81 ,100 ,813800 ,משכורות כוללות,70,51,51,0,0
"הפעלת בתי""ס של החופש הגדול",81 ,101 ,813800 ,משכורות כוללות - סייעות רפואיות,30,17,17,0,0
"הפעלת בתי""ס של החופש הגדול",81 ,750 ,813800 ,ניקיון בקבלנות,143,70,70,0,0
"הפעלת בתי""ס של החופש הגדול",5 ,751 ,813800 ,אבטחה בקבלנות,67,65,65,0,0
"הפעלת בתי""ס של החופש הגדול",81 ,752 ,813800 ,הסעות וליווי תלמידים,93,93,93,0,0
"הפעלת בתי""ס של החופש הגדול",81 ,780 ,813800 ,הפעלת בתי ספר של החופש הגדול,"1,290",611,880,0,0
"הפעלת בתי""ס של החופש הגדול",81 ,860 ,813800 ,הנחות לנזקקים,80,45,35,0,0
"הפעלת בתי""ס של החופש הגדול",81 ,870 ,813800 ,"תפעול שוטף - הקצבה לניהול עצמי - בי""ס יסודיים",120,99,99,0,0
,,,8138.,"סה""כ - בתי ספר של החופש הגדול:","1,893","1,051","1,310",0,0
,,,814.,חטיבות ביניים,,,,,
חטיבות הביניים,81 ,100 ,814000 ,שכר עובדי מינהל ושרותים (ב- 2015 הופרד לסעיפים 101-106),0,"5,409","5,415","5,515","5,306"
חטיבות הביניים,81 ,101 ,814000 ,שכר עובדי מינהל ושרותים - הנגיד,"1,046",0,0,0,0
חטיבות הביניים,81 ,102 ,814000 ,שכר עובדי מינהל ושרותים - יד גיורא,824,0,0,0,0
חטיבות הביניים,81 ,103 ,814000 ,שכר עובדי מינהל ושרותים - בן גוריון,"1,066",0,0,0,0
חטיבות הביניים,81 ,104 ,814000 ,שכר עובדי מינהל ושרותים - רעות,927,0,0,0,0
חטיבות הביניים,81 ,105 ,814000 ,שכר עובדי מינהל ושרותים - זאב,988,0,0,0,0
חטיבות הביניים,81 ,106 ,814000 ,שכר עובדי מינהל ושרותים - סמדר,692,0,0,0,0
חטיבות הביניים,81 ,107 ,814000 ,"שכר תיגבור לימודים, יוזמות ופרוייקטים פדגוגיים (כולל שעות הוראה אפקטיביות) ",885,"1,027","1,027",850,"1,020"
חטיבות הביניים,81 ,108 ,814000 ,"שכר הוראה מרכזי למידה - תוכנית ""כנפיים""",500,515,515,342,360
חטיבות הביניים,10 ,570 ,814000 ,הוצאות מיכון,158,154,154,154,125
חטיבות הביניים,81 ,750 ,814000 ,נקיון בקבלנות,"1,589","1,573","1,635","1,635","1,339"
חטיבות הביניים,81 ,780 ,814000 ,"החזר הוצאות לחט""ב בגין שכירויות שונות (50%) (הכנסות בסעיף 430/670)",32,57,57,57,0
חטיבות הביניים,81 ,784 ,814000 ,הוצאות להפעלת יוזמות ופרוייקטים פדגוגיים ,786,"1,282","1,282",885,"1,061"
חטיבות הביניים,82 ,871 ,814000 ,(כיתות ספורט הנגיד (באמצעות בני-הרצליה,50,50,50,50,50
חטיבות הביניים,82 ,872 ,814000 ,(כיתות ספורט בן גוריון (באמצעות בני-הרצליה,50,50,50,50,50
חטיבות הביניים,82 ,873 ,814000 ,"מועדוני ספורט בית-ספריים (סמדר, ב""ג, הנגיד, זאב - ע""י בני הרצליה)",80,56,100,100,62
חטיבות הביניים,81 ,878 ,814000 ,הקצבות לניהול עצמי ,"1,540","1,500","1,500","1,500","1,511"
,,,814.,"סה""כ - חטיבות ביניים:","11,213","11,673","11,785","11,138","10,884"
,,,814001.,"בי""ס על יסודי צומח ממ""ד",,,,,
"בי""ס על יסודי צומח ממ""ד",81 ,100 ,814001 ,שכר הוראה - ממלכתי דתי,583,463,463,411,290
"בי""ס על יסודי צומח ממ""ד",81 ,101 ,814001 ,שכר מינהלה - ממלכתי דתי,150,145,180,180,60
"בי""ס על יסודי צומח ממ""ד",81 ,780 ,814001 ,הוצאות שוטפות - ממלכתי דתי (כולל פרסום והסעות),177,128,128,128,112
,,,814001.,"סה""כ - בי""ס על יסודי צומח ממ""ד:",910,736,771,719,462
,,,8141.,אשכול פיס זאב,,,,,
אשכול פיס זאב,81 ,100 ,814100 ,משכורות כוללות ,558,539,540,540,527
אשכול פיס זאב,5 ,750 ,814100 ,אחזקת מערכות ציוד ומיזוג אוויר בקבלנות ,55,55,55,55,43
אשכול פיס זאב,5 ,751 ,814100 ,אחזקת מעלית בקבלנות ,12,12,12,12,8
אשכול פיס זאב,82 ,870 ,814100 ,"הקצבה לבית פוסטר להפעלה אחה""צ (כולל שכר ע' מנהלה)",317,312,312,312,312
אשכול פיס זאב,81 ,878 ,814100 ,הקצבה לניהול עצמי,278,278,278,278,278
,,,8141.,"סה""כ - אשכול פיס זאב:","1,220","1,196","1,197","1,197","1,167"
,,,8152.,"בתי ספר תיכוניים - עירוניים  (הראשונים, היובל, החדש)",,,,,
חינוך על-יסודי,81 ,101 ,815200 ,משכורות כוללות - תיכון הראשונים - הוראה,"19,513","19,647","19,620","19,320","19,463"
חינוך על-יסודי,81 ,102 ,815200 ,משכורות כוללות - תיכון היובל - הוראה,"16,601","17,100","17,175","17,325","17,339"
חינוך על-יסודי,81 ,103 ,815200 ,משכורות כוללות - תיכון עירוני החדש - הוראה,"14,297","13,462","13,440","13,840","12,873"
חינוך על-יסודי,81 ,105 ,815200 ,מחוייבות אישית,25,23,17,17,30
חינוך על-יסודי,81 ,107 ,815200 ,"שכר תיגבור לימודים, יוזמות ופרוייקטים פדגוגיים (כולל ש' הוראה אפקטיביות) ",715,493,493,325,539
חינוך על-יסודי,81 ,110 ,815200 ,משכורות כוללות - פיקוח רפואי (הופרד מסעיף  8152/751),210,200,196,276,170
חינוך על-יסודי,81 ,111 ,815200 ,משכורות כוללות - תיכון הראשונים - מינהלה,"2,443","2,453","2,430","2,360","2,404"
חינוך על-יסודי,81 ,112 ,815200 ,משכורות כוללות - תיכון היובל - מינהלה,"2,420","2,338","2,310","2,310","2,266"
חינוך על-יסודי,81 ,113 ,815200 ,משכורות כוללות - תיכון חדש - מינהלה,"1,604","1,511","1,550","1,630","1,568"
חינוך על-יסודי,10 ,570 ,815200 ,הוצאות מיכון,142,138,138,138,123
חינוך על-יסודי,81 ,750 ,815200 ,נקיון בקבלנות,946,900,900,900,832
חינוך על-יסודי,81 ,751 ,815200 ,פיקוח רפואי (עבר לסעיף  8152/110),20,20,20,20,5
חינוך על-יסודי,81 ,755 ,815200 ,"מ""מ מזכירות ושרתים - באמצ' חב'  כח-אדם",48,80,80,0,0
חינוך על-יסודי,81 ,780 ,815200 ,החזר הוצאות לתיכונים בגין הפעלת קיוסקים (50%) (הכנסות בסעיף 430/670) ,330,590,400,400,588
חינוך על-יסודי,81 ,781 ,815200 ,"סיוע בהכנת פרופיל ורמת שירות של בתיה""ס",35,35,35,35,35
חינוך על-יסודי,81 ,784 ,815200 ,הוצאות להפעלת יוזמות ופרוייקטים פדגוגיים ,554,600,600,396,493
חינוך על-יסודי,81 ,785 ,815200 ,הוצאות להשתלמות מורים מצטיינים,30,50,50,50,35
חינוך על-יסודי,82 ,873 ,815200 ,מועדוני ספורט בית ספריים  (היובל והראשונים) ,80,65,100,100,80
חינוך על-יסודי,81 ,878 ,815200 ,"הקצבות לניהול עצמי (כולל תחזוקה, צריכת מים וגינון)","1,854","1,854","1,854","1,854","1,863"
,,,8152.,"סה""כ - בתי""ס תיכוניים:","61,867","61,559","61,408","61,296","60,705"
,,,81521.,תיכון הנדסאים,,,,,
תיכון הנדסאים,81 ,100 ,815210 ,משכורות כוללות - עובדי הוראה ,"7,925","7,520","7,500","7,600","6,783"
תיכון הנדסאים,81 ,104 ,815210 ,משכורות כוללות - עובדי מינהלה ,820,712,734,734,731
תיכון הנדסאים,81 ,780 ,815210 ,הוצאות שוטפות ושונות,185,145,145,145,258
,,,81521.,"סה""כ - תיכון הנדסאים:","8,930","8,377","8,379","8,479","7,772"
,,,8159.,תיכון דור,,,,,
תיכון דור ,81 ,100 ,815900 ,שכר עובדי הוראה  ,"2,560","2,644","2,655","2,875","2,075"
תיכון דור ,81 ,101 ,815900 ,שכר מינהלה,520,501,500,500,479
תיכון דור ,81 ,102 ,815900 ,"שכר יול""א (מותנה במימון משר""ח - סעיף 3159/922)",717,800,790,695,651
תיכון דור ,81 ,430 ,815900 ,הוצאות חשמל ,88,78,78,78,75
תיכון דור ,81 ,432 ,815900 ,הוצאות צריכת מים ואגרת ביוב,76,38,38,38,114
תיכון דור ,81 ,511 ,815900 ,שתיה וכיבוד ,5,5,5,5,5
תיכון דור ,81 ,540 ,815900 ,טלפון ישיר,12,12,12,12,10
תיכון דור ,81 ,720 ,815900 ,הוצאות שוטפות ושונות,73,78,78,78,45
תיכון דור ,81 ,740 ,815900 ,חומרים וציוד טכנולוגי,20,20,20,20,20
תיכון דור ,81 ,742 ,815900 ,אחזקת מכונת צילום,9,9,9,9,6
תיכון דור ,81 ,750 ,815900 ,נקיון בקבלנות,196,160,192,192,154
תיכון דור ,81 ,780 ,815900 ,"הוצאות לפעולות יול""א לרבות הזנה  (מותנה במימון משר""ח - סעיף 3159/922)",500,400,400,400,322
,,,8159.,"סה""כ - תיכון דור:","4,776","4,745","4,777","4,902","3,955"
,,,8168.,קרן מילגות עירוניות,,,,,
קרן מלגות עירוניות,1 ,850 ,816800 ,"מפעל מלגות (מתוכם 50 אלש""ח לטובת מלגות לפולין)",200,200,360,200,175
,,,8168.,"סה""כ - קרן מלגות עירוניות:",200,200,360,200,175
,,,8171.,אבטחת מוסדות חינוך,,,,,
אבטחת מוסדות חינוך,5 ,100 ,817100 ,שכר קציני בטחון,430,415,415,415,391
אבטחת מוסדות חינוך,5 ,541 ,817100 ,אחזקת מערכת לחצני מצוקה,110,110,110,110,100
אבטחת מוסדות חינוך,5 ,720 ,817100 ,הוצאות שוטפות ואחזקת מערכות אזעקה וכריזה,200,210,210,210,150
אבטחת מוסדות חינוך,5 ,730 ,817100 ,אחזקת רכבים - תיפעולי ,49,49,42,42,35
אבטחת מוסדות חינוך,5 ,750 ,817100 ,אבטחת מוסדות חינוך,"4,320","4,235","4,235","4,195","3,417"
,,,8171.,"סה""כ - אבטחת מוסדות חינוך:","5,109","5,019","5,012","4,972","4,094"
,,,8172.,מרכז פדגוגי - פיסגה,,,,,
מרכז פדגוגי,81 ,100 ,817200 ,משכורות כוללות ,526,508,495,495,475
מרכז פדגוגי,5 ,420 ,817200 ,תיקונים ואחזקה,3,1,1,3,0
מרכז פדגוגי,81 ,430 ,817200 ,הוצאות חשמל  ,63,63,63,63,53
מרכז פדגוגי,81 ,432 ,817200 ,הוצאות מים  ,30,30,30,30,0
מרכז פדגוגי,81 ,750 ,817200 ,נקיון בקבלנות,152,168,186,193,163
מרכז פדגוגי,5 ,751 ,817200 ,אחזקת מעלית בקבלנות,16,16,13,10,9
מרכז פדגוגי,5 ,752 ,817200 ,"נקיון בקבלנות (מרכז פסג""ה הישן)",0,7,7,0,0
מרכז פדגוגי,81 ,870 ,817200 ,הקצבה לניהול עצמי,100,122,122,122,110
,,,8172.,"סה""כ - מרכז פדגוגי - פיסגה:",890,915,917,916,810
,,,81721.,מרכז המדעים,,,,,
מרכז המדעים,81 ,100 ,817210 ,משכורות כוללות (מ- 2014 העסקה בשעות אפקטיביות בסעיף 102),975,940,"1,190","1,190","1,492"
מרכז המדעים,81 ,101 ,817210 ,משכורות כוללות - פרוייקט שיגור לויין,0,0,0,0,78
מרכז המדעים,81 ,102 ,817210 ,משכורות כוללות - בשעות אפקטיביות (ב- 2014 הופרד מסעיף 100),485,485,485,485,0
מרכז המדעים,81 ,103 ,817210 ,משכורות כוללות - בשעות אפקטיביות (במקביל בהכנסות בסעיף 31721/420),170,170,170,170,0
מרכז המדעים,81 ,107 ,817210 ,"שכר תיגבור לימודים, יוזמות ופרוייקטים פדגוגיים (כולל ש' הוראה אפקטיביות) (ב- 2015 הועבר מסעיף 784) ",92,0,0,0,0
מרכז המדעים,5 ,420 ,817210 ,תיקונים ואחזקה,70,70,70,70,56
מרכז המדעים,81 ,430 ,817210 ,הוצאות חשמל,140,126,140,140,123
מרכז המדעים,81 ,432 ,817210 ,הוצאות צריכת מים ואגרת ביוב,72,72,72,72,84
מרכז המדעים,81 ,540 ,817210 ,טלפון ישיר,15,15,15,15,12
מרכז המדעים,10 ,570 ,817210 ,הוצאות מיכון,98,98,98,98,91
מרכז המדעים,81 ,750 ,817210 ,נקיון בקבלנות,315,259,240,240,207
מרכז המדעים,5 ,751 ,817210 ,אחזקת מעלית בקבלנות ,14,14,14,14,10
מרכז המדעים,81 ,780 ,817210 ,הוצאות לפעולות (מ- 2014 חלק מההוצאות  בסעיף 781),323,348,348,348,501
מרכז המדעים,81 ,781 ,817210 ,הוצאות לפעולות (ב- 2014 הופרד מסעיף 780. במקביל בהכנסות בסעיף 31721/420),190,190,190,190,0
מרכז המדעים,81 ,784 ,817210 ,הוצאות לפעולות יוזמות ופרוייקטים לקידום המדעים (ב- 2015 הועבר לסעיף 107),0,137,137,101,44
,,,81721.,"סה""כ - מרכז המדעים:","2,959","2,924","3,169","3,133","2,699"
,,,8173.,שרות פסיכולוגי חינוכי,,,,,
שרות פסיכולוגי חינוכי,81 ,100 ,817300 ,משכורות כוללות - פסיכולוגים,"4,900","4,774","4,767","4,520","4,528"
שרות פסיכולוגי חינוכי,81 ,102 ,817300 ,משכורות כוללות - מזכירות,352,325,340,340,337
שרות פסיכולוגי חינוכי,81 ,103 ,817300 ,שכר פסיכולוגי (מותנה בהכנסות מהעמותה לילדים בסיכון - סעיף 3173/490),150,0,0,0,0
שרות פסיכולוגי חינוכי,81 ,107 ,817300 ,"שכר תיגבור לימודים, יוזמות ופרוייקטים פדגוגיים (כולל ש' הוראה אפקטיביות) ",61,78,78,54,62
שרות פסיכולוגי חינוכי,81 ,220 ,817300 ,"שכר אבחונים (כולל בשלות לבי""ס) ",100,100,100,100,99
שרות פסיכולוגי חינוכי,81 ,221 ,817300 ,שכר אבחונים (במקביל להכנסות בסעיף 3173/421) ,50,50,50,50,47
שרות פסיכולוגי חינוכי,5 ,420 ,817300 ,תיקונים ואחזקה,5,5,5,5,4
שרות פסיכולוגי חינוכי,81 ,430 ,817300 ,הוצאות חשמל,30,30,30,30,29
שרות פסיכולוגי חינוכי,81 ,432 ,817300 ,הוצאות צריכת מים ואגרת ביוב,11,11,11,11,13
שרות פסיכולוגי חינוכי,81 ,521 ,817300 ,"השתלמויות והדרכה (כולל השתת' משר""ח)",94,119,119,94,93
שרות פסיכולוגי חינוכי,81 ,540 ,817300 ,טלפון ישיר,15,15,15,15,12
שרות פסיכולוגי חינוכי,81 ,720 ,817300 ,הוצאות שוטפות ושונות  (כולל נפגעי אלימות),60,59,59,59,58
שרות פסיכולוגי חינוכי,81 ,742 ,817300 ,אחזקת מכונת צילום,3,3,3,3,2
שרות פסיכולוגי חינוכי,5 ,750 ,817300 ,נקיון בקבלנות,52,50,52,52,45
שרות פסיכולוגי חינוכי,81 ,780 ,817300 ,"איבחונים (כולל בשלות לבי""ס) ",20,20,0,0,18
,,,8173.,"סה""כ - שרות פסיכולוגי חינוכי:","5,903","5,639","5,629","5,333","5,346"
,,,81741.,ריפוי שיניים,,,,,
ריפוי שיניים,81 ,751 ,817410 ,הפעלת חינוך לבריאות השן (מותנה במימון משרד הבריאות - סעיף 31741/940) ,180,175,180,180,181
ריפוי שיניים,81 ,755 ,817410 ,"העסקת כ""א באמצעות חב' השמה (מותנה במימון מ. הבריאות - סעיף 31741/940)",190,155,190,190,104
ריפוי שיניים,81 ,850 ,817410 ,סבסוד טיפולי שיניים לתלמידים,80,90,90,90,14
,,,81741.,"סה""כ - ריפוי שיניים:",450,420,460,460,298
,,,8175.,ביטוח תלמידים,,,,,
ביטוח תלמידים,81 ,440 ,817500 ,הוצאות ביטוח תלמידים (כנגד הכנסות),708,690,690,690,687
,,,8175.,"סה""כ - ביטוח תלמידים:",708,690,690,690,687
,,,8177.,קציני ביקור סדיר,,,,,
קציני ביקור סדיר,81 ,100 ,817700 ,משכורות כוללות ,545,525,525,525,515
,,,8177.,"סה""כ - קציני ביקור סדיר:",545,525,525,525,515
,,,8178.,הסעות תלמידים,,,,,
הסעות תלמידים,81 ,750 ,817800 ,מימון הסעים (מתחייב),"7,696","7,614","7,700","7,700","6,651"
הסעות תלמידים,81 ,751 ,817800 ,מימון הסעים - תוספת עירונית  (כולל הסעות לבני ברק),"2,316","1,665","1,579","1,200","1,643"
הסעות תלמידים,81 ,752 ,817800 ,ליווי הסעים בחינוך המיוחד,"4,612","3,655","3,656","3,160","2,727"
,,,8178.,"סה""כ - הסעות תלמידים:","14,624","12,934","12,935","12,060","11,022"
,,,8179.,"המרכז להוראה מתקנת - ""מטרה""",,,,,
המרכז להוראה מתקנת,81 ,100 ,817900 ,שכר עובדי הוראה ,"1,230","1,083","1,000","1,000",975
המרכז להוראה מתקנת,81 ,101 ,817900 ,שכר עובדי הוראה - מועדוניות רווחה ,150,130,130,100,123
המרכז להוראה מתקנת,81 ,102 ,817900 ,שכר מינהלה ,423,409,410,410,407
המרכז להוראה מתקנת,81 ,103 ,817900 ,שכר פסיכולוגים - אבחון דידקטי וקשב ,135,174,175,200,176
המרכז להוראה מתקנת,2 ,410 ,817900 ,שכר דירה,275,250,250,250,238
המרכז להוראה מתקנת,5 ,420 ,817900 ,תיקונים ואחזקה,4,4,4,4,4
המרכז להוראה מתקנת,81 ,430 ,817900 ,הוצאות חשמל,18,18,18,18,14
המרכז להוראה מתקנת,81 ,470 ,817900 ,ציוד משרדי שוטף,10,10,10,10,10
המרכז להוראה מתקנת,81 ,540 ,817900 ,טלפון ישיר,5,5,5,5,2
המרכז להוראה מתקנת,81 ,742 ,817900 ,אחזקת מכונת צילום,5,5,5,5,3
המרכז להוראה מתקנת,5 ,750 ,817900 ,עבודות נקיון בקבלנות,49,47,49,49,41
המרכז להוראה מתקנת,81 ,751 ,817900 ,אבחון דידקטי וקשב,150,135,135,110,146
המרכז להוראה מתקנת,81 ,755 ,817900 ,"העסקת כ""א באמצעות חב' השמה",50,50,50,50,29
המרכז להוראה מתקנת,81 ,780 ,817900 ,הוצאות שוטפות ואחרות ,60,65,65,65,64
המרכז להוראה מתקנת,81 ,850 ,817900 ,הנחות לתלמידים (כולל ועדת הנחות),100,100,100,100,0
המרכז להוראה מתקנת,81 ,860 ,817900 ,סבסוד אבחונים - נזקקים ,100,100,100,100,0
המרכז להוראה מתקנת,81 ,930 ,817900 ,רכישת ציוד יסודי - חד-פעמי,20,20,20,20,0
,,,8179.,"סה""כ - המרכז להוראה מתקנת - ""מטרה"":","2,784","2,605","2,526","2,496","2,233"
,,,81791.,תלמידי חוץ,,,,,
תלמידי חוץ,81 ,760 ,817910 ,מימון שכר לימוד לתלמידי חוץ - חינוך רגיל ,260,255,255,255,241
תלמידי חוץ,81 ,761 ,817910 ,מימון שכר לימוד לתלמידי חוץ - חינוך מיוחד ,"1,600","1,502","1,352","1,352","1,493"
,,,81791.,"סה""כ - תלמידי חוץ:","1,860","1,757","1,607","1,607","1,735"
,,,81792.,יום לימודים ארוך,,,,,
"יול""א",81 ,100 ,817920 ,משכורות כוללות - פיקוח על צהרונים,90,87,80,80,76
"יול""א",81 ,750 ,817920 ,"הפעלת יול""א באמצעות קרן קרב ושונות  (ב- 2015 עבר ליסודיים סעיף 8132/780)",0,"4,684","4,690","4,410","3,830"
"יול""א",82 ,751 ,817920 ,"תיגבור וחיזוק החינוך הממלכתי דתי (באמצעות מתנ""ס פוסטר) ",105,105,105,100,103
"יול""א",82 ,752 ,817920 ,"תיגבור וחיזוק צהרונים בגנ""י (3)",200,161,161,108,108
"יול""א",82 ,780 ,817920 ,"סייעות יול""א בגני ילדים באמצעות מתנ""ס פוסטר",0,0,0,250,0
"יול""א",81 ,782 ,817920 ,"יול""א חינוך מיוחד",70,80,80,80,99
"יול""א",81 ,783 ,817920 ,סבסוד אוכלוסיות חלשות (צהרונים) א'-ג' (ב- 2015 הופרד מיסודיים סעיף 8132/784),170,0,0,0,0
"יול""א",81 ,784 ,817920 ,"יול""א בהרצל כולל ארוחות והעשרה (ב- 2015 הופרד מסעיפים: 8132/784 ו- 81792/750)",444,0,0,0,0
"יול""א",81 ,785 ,817920 ,"הפעלת יול""א ביד התשעה (ב- 2015 הופרד מגנ""י סעיף 812/784)",20,0,0,0,0
"יול""א",82 ,870 ,817920 ,"סבסוד יול""א בגני-ילדים באמצעות מתנ""ס פוסטר",750,662,662,400,490
,,,81792.,"סה""כ - יום לימודים ארוך:","1,849","5,779","5,778","5,428","4,706"
,,,81793.,הנחות וסיוע לתלמידים במערכת החינוך,,,,,
הנחות וסיוע לתלמידים במערכת החינוך,81 ,850 ,817930 ,(סיוע לתלמידים נזקקים (ועדת הנחות כולל נסיעות,186,142,142,142,161
הנחות וסיוע לתלמידים במערכת החינוך,81 ,855 ,817930 ,סבסוד תלמידי החינוך הדתי הלומדים מחוץ לעיר,320,438,438,420,437
הנחות וסיוע לתלמידים במערכת החינוך,81 ,856 ,817930 ,"מצויינות ומלגות לתחרויות בחו""ל",20,20,20,20,0
הנחות וסיוע לתלמידים במערכת החינוך,81 ,860 ,817930 ,"החזרי הנחות לבתי""ס  ",98,98,98,98,98
הנחות וסיוע לתלמידים במערכת החינוך,81 ,861 ,817930 ,"הנחות צהרונים (בתי""ס)",285,300,300,0,0
,,,81793.,"סה""כ - הנחות וסיוע לתלמידים במערכת החינוך:",909,998,998,680,696
,,,81795.,פעולות בטיחות,,,,,
פעולות בטיחות ,7 ,781 ,817950 ,פעולות בטיחות במערך החינוך ,250,250,250,250,232
פעולות בטיחות ,81 ,755 ,817951 ,העסקת מלווים במעברי חצייה,227,241,243,198,219
,,,81795.,"סה""כ - פעולות בטיחות :",477,491,493,448,451
,,,81796.,תחזוקת מוסדות חינוך והצטיידות,,,,,
"הצטיידות ותחזוקת מוס""ח",5 ,100 ,817960 ,עובדי תחזוקת מבני חינוך (סעיף מתחלק בין חינוך לבין כלל העירייה - יחד עם ס. 9383/100),"1,080","1,045","1,045","1,020","1,012"
"הצטיידות ותחזוקת מוס""ח",5 ,420 ,817960 ,"תיקונים ואחזקת מבנים ורהוט - מוסדות חינוך (יסודיים, חט""ב ותיכונים בניהול עצמי)",800,765,765,750,659
"הצטיידות ותחזוקת מוס""ח",5 ,421 ,817960 ,"תיקונים ואחזקת מתקני משחק בבתי""ס",90,90,100,100,78
"הצטיידות ותחזוקת מוס""ח",5 ,423 ,817960 ,"ביקורת והדרכות בטיחות אש - מוס""ח (כללי בפרק .721)",200,250,250,250,0
"הצטיידות ותחזוקת מוס""ח",81 ,425 ,817960 ,אחזקת בתי ספר (כנגד הכנסות מדמי שימוש - סעיף 317960/420),970,300,300,420,449
"הצטיידות ותחזוקת מוס""ח",2 ,426 ,817960 ,"העברה לבתי""ס בגין הכנסות ממערכות פוטו וולטאיות",70,70,70,70,70
"הצטיידות ותחזוקת מוס""ח",81 ,432 ,817960 ,"הוצאות צריכת מים ואגרת ביוב - מוסדות חינוך (יסודיים, חט""ב ותיכונים בניהול עצמי)",77,77,77,77,18
"הצטיידות ותחזוקת מוס""ח",5 ,720 ,817960 ,חומרים ונורות חשמל ,120,120,120,100,71
"הצטיידות ותחזוקת מוס""ח",5 ,740 ,817960 ,ציוד כיבוי אש - אחזקה וחידוש,152,122,122,102,97
"הצטיידות ותחזוקת מוס""ח",5 ,747 ,817960 ,אחזקת ציוד ומזגנים במוסדות חינוך ,580,740,830,930,507
"הצטיידות ותחזוקת מוס""ח",3 ,750 ,817960 ,"שרותי אחזקה חיצוניים לעבודות גינון בגנ""י ובבתי""ס שאינם בניהול עצמי ",580,541,541,541,357
"הצטיידות ותחזוקת מוס""ח",3 ,780 ,817960 ,"שימור גנים וחידוש צמחיה בבתי""ס שלא בניהול עצמי",323,323,323,323,253
"הצטיידות ותחזוקת מוס""ח",5 ,781 ,817960 ,בטיחות מוסדות חינוך,550,500,500,500,477
"הצטיידות ותחזוקת מוס""ח",5 ,782 ,817960 ,פריסה וקיפול הצללות+אחזקה,400,530,530,530,408
"הצטיידות ותחזוקת מוס""ח",5 ,783 ,817960 ,"בדיקות וסקרי בטיחות במוס""ח (ב- 2014 הופרד מסעיפים 721/781-2)",240,240,237,237,0
"הצטיידות ותחזוקת מוס""ח",81 ,930 ,817960 ,"רכישת ציוד יסודי לבתי""ס וגנ""י",150,318,318,318,298
"הצטיידות ותחזוקת מוס""ח",10 ,931 ,817960 ,"חידוש ציוד יסודי למיחשוב לבתי""ס וגנ""י",250,502,502,502,"1,176"
"הצטיידות ותחזוקת מוס""ח",81 ,932 ,817960 ,"פרוייקט ""מחשב לכל ילד""",36,39,39,39,-5
,,,81796.,"סה""כ - תחזוקת מוסדות חינוך והצטיידות:","6,668","6,572","6,669","6,809","5,925"
,,,81797.,קידום נוער  (הועבר מפרק .8285),,,,,
קידום נוער,81 ,100 ,817970 ,משכורות כוללות ,"1,123","1,070","1,050","1,050","1,050"
קידום נוער,81 ,430 ,817970 ,הוצאות חשמל,8,8,8,8,5
קידום נוער,81 ,432 ,817970 ,הוצאות צריכת מים ואגרת ביוב,3,3,3,3,0
