"הצעת   התקציב   הרגיל   לשנת   2015   בש""ח",,,,,,,,,
סעיף,פרק,ספר,,שם,סוג,אחוז השינוי מול 2014,"הצעה
2015","תקציב  מקורי
2014","ביצוע
2013"
733300  סך הכל ,,,,פיקוח על הבניה    ,,10.17% ,"2,897,700 ","2,630,100 ","2,216,692.91"
000 ,734000 ,1 ,,מיחשוב יעודי קרקע , ,,                ,                ,
570 ,734000 ,1 ,,חב' לאוטומציה     ,קשיח,0.00% ,"16,000 ","16,000 ","13,702.34"
572 ,734000 ,1 ,,"מעקב תב""ע",קשיח,0.00% ,"4,500 ","4,500 ","2,625.15"
700 ,734000 ,1 ,,הוצאות לפעולות    , ,,                ,                ,0.00
734000  סך הכל ,,,,מיחשוב יעודי קרקע ,,0.00% ,"20,500 ","20,500 ","16,327.49"
000 ,735000 ,1 ,,בנית מבני ציבור   , ,,                ,                ,
110 ,735000 ,1 ,,השכר הקובע-תקציבית,שכר,0.10% ,"815,700 ","814,900 ","806,143.32"
119 ,735000 ,1 ,,השכר הקובע-צוברת  ,שכר,214.16% ,"610,100 ","194,200 ","218,261.46"
122 ,735000 ,1 ,,ביגוד             ,שכר,-6.64% ,"22,500 ","24,100 ","20,514.95"
126 ,735000 ,1 ,,דמי הבראה         ,שכר,-11.58% ,"35,900 ","40,600 ","32,184.00"
130 ,735000 ,1 ,,שעות נוספות       ,שכר,4.47% ,"140,100 ","134,100 ","138,487.05"
140 ,735000 ,1 ,,השתתפות באחזקת רכב,שכר,4.77% ,"156,000 ","148,900 ","153,743.55"
420 ,735000 ,1 ,,כבוי אש           ,גמיש,0.00% ,"1,000 ","1,000 ",900.00
433 ,735000 ,1 ,,חומרי נקיון       ,גמיש,0.00% ,"2,000 ","2,000 ","1,083.32"
470 ,735000 ,1 ,,אחזקת מכונות משרד ,גמיש,0.00% ,"7,000 ","7,000 ","4,959.14"
471 ,735000 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,"38,000 ","38,000 ","32,567.01"
511 ,735000 ,1 ,,אירוח וכיבוד      ,גמיש,9.38% ,"7,000 ","6,400 ","5,861.40"
522 ,735000 ,1 ,,ספרים ועיתונים    ,גמיש,0.00% ,"2,400 ","2,400 ","1,536.00"
562 ,735000 ,1 ,,הדפסות            ,גמיש,0.00% ,"2,000 ","2,000 ","1,984.00"
571 ,735000 ,1 ,,"מיכון וענ""א       ",קשיח,12.25% ,"91,600 ","81,600 ","91,500.00"
752 ,735000 ,1 ,,נקיון בקבלנות     ,גמיש,0.00% ,0 ,0 ,"10,711.50"
735000  סך הכל ,,,,בנית מבני ציבור   ,,28.99% ,"1,931,300 ","1,497,200 ","1,520,436.70"
000 ,736000 ,1 ,,אח' נכסים ציבוריים, ,,                ,                ,
100 ,736000 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,736000 ,1 ,,השכר הקובע-תקציבית,שכר,-30.90% ,"413,100 ","597,800 ","750,933.74"
119 ,736000 ,1 ,,השכר הקובע-צוברת  ,שכר,-0.20% ,"253,200 ","253,700 ","248,613.87"
122 ,736000 ,1 ,,ביגוד             ,שכר,-10.08% ,"33,000 ","36,700 ","30,532.05"
126 ,736000 ,1 ,,דמי הבראה         ,שכר,-15.70% ,"46,700 ","55,400 ","160,246.79"
130 ,736000 ,1 ,,שעות נוספות       ,שכר,0.00% ,"116,100 ","116,100 ","126,961.05"
140 ,736000 ,1 ,,השתתפות באחזקת רכב,שכר,-23.44% ,"110,100 ","143,800 ","120,628.90"
200 ,736000 ,1 ,,שכר עובדים ללא תקן, ,,,,0.00
253 ,736000 ,1 ,,עובדים חיצוניים   ,שכר,0.00% ,0 ,0 ,"9,440.00"
400 ,736000 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
492 ,736000 ,1 ,,השתתפות בעזר 092  ,קשיח,0.23% ,"174,300 ","173,900 ","182,939.00"
596 ,736000 ,1 ,,השתתפות בעזר 096  ,קשיח,-1.79% ,"434,000 ","441,900 ","394,356.00"
700 ,736000 ,1 ,,הוצאות לפעולות    , ,,,,
742 ,736000 ,1 ,,כלים וציוד        ,גמיש,0.00% ,"5,000 ","5,000 ","1,353.73"
794 ,736000 ,1 ,,השתתפות בעזר 094  ,קשיח,-1.54% ,"12,800 ","13,000 ","11,734.00"
900 ,736000 ,1 ,,הוצאות חד-פעמיות  , ,,,,0.00
931 ,736000 ,1 ,,ציוד חד פעמי      ,גמיש,0.00% ,"9,600 ","9,600 ","9,706.41"
736000  סך הכל ,,,,אח' נכסים ציבוריים,,-12.94% ,"1,607,900 ","1,846,900 ","2,047,445.54"
000 ,736100 ,1 ,,אח' נכסים ציבוריים, ,,                ,                ,
423 ,736100 ,1 ,,תחזוקת מבנה       ,קשיח,-12.94% ,"-1,607,900 ","-1,846,900 ","-1,025,500.00"
736100  סך הכל ,,,,אח' נכסים ציבוריים,,-12.94% ,"-1,607,900 ","-1,846,900 ","-1,025,500.00"
000 ,740000 ,1 ,,נכסים צבוריים     , ,,                ,                ,
000 ,741000 ,1 ,,מינהל נכס'ציבוריים, ,,                ,                ,
119 ,741000 ,1 ,,השכר הקובע-צוברת  ,שכר,38.77% ,"1,147,900 ","827,200 ","631,606.41"
122 ,741000 ,1 ,,ביגוד             ,שכר,-15.38% ,"4,400 ","5,200 ","5,700.35"
126 ,741000 ,1 ,,דמי הבראה         ,שכר,-41.01% ,"8,200 ","13,900 ","14,835.50"
140 ,741000 ,1 ,,השתתפות באחזקת רכב,שכר,99.44% ,"35,700 ","17,900 ","26,898.65"
350 ,741000 ,1 ,,ליסינג - 62-156-60,שכר,0.27% ,"37,100 ","37,000 ","35,770.55"
351 ,741000 ,1 ,,הוצאות - 62-156-60,שכר,0.00% ,"36,000 ","36,000 ","29,074.95"
471 ,741000 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,"7,000 ","7,000 ","5,805.64"
492 ,741000 ,1 ,,השתתפות בעזר 092  ,קשיח,0.24% ,"165,500 ","165,100 ","147,593.00"
511 ,741000 ,1 ,,אירוח וכיבוד      ,גמיש,-9.09% ,"8,000 ","8,800 ","10,996.51"
512 ,741000 ,1 ,,"נסיעות ואש""ל      ",גמיש,25.00% ,500 ,400 ,319.50
522 ,741000 ,1 ,,ספרים ועיתונים    ,גמיש,0.00% ,"3,200 ","3,200 ",941.47
550 ,741000 ,1 ,,פירסומים          ,גמיש,0.00% ,400 ,400 ,
561 ,741000 ,1 ,,שיכפולים          ,גמיש,0.00% ,600 ,600 ,
562 ,741000 ,1 ,,הדפסות            ,גמיש,0.00% ,500 ,500 ,
565 ,741000 ,1 ,,מפות,גמיש,0.00% ,"1,600 ","1,600 ","2,000.00"
571 ,741000 ,1 ,,"מיכון וענ""א       ",קשיח,12.38% ,"57,200 ","50,900 ","57,100.00"
580 ,741000 ,1 ,,ייעוץ,גמיש,0.00% ,"85,000 ",,
780 ,741000 ,1 ,,עיר בריאה ומקיימת,גמיש,0.00% ,"172,000 ",,
781 ,741000 ,1 ,,"פעולות סמנכ""ל",גמיש,0.00% ,"7,700 ","7,700 ","1,689.54"
741000  סך הכל ,,,,מינהל נכס'ציבוריים,,50.29% ,"1,778,500 ","1,183,400 ","970,332.07"
000 ,741100 ,1 ,,אגף התשתיות, ,,                ,                ,
110 ,741100 ,1 ,,השכר הקובע-תקציבית,שכר,74.74% ,"267,000 ","152,800 ","249,933.73"
119 ,741100 ,1 ,,השכר הקובע-צוברת  ,שכר,-68.59% ,"126,800 ","403,700 ","300,804.50"
122 ,741100 ,1 ,,ביגוד             ,שכר,-15.72% ,"13,400 ","15,900 ","13,162.85"
126 ,741100 ,1 ,,דמי הבראה         ,שכר,-15.69% ,"27,400 ","32,500 ","25,803.00"
130 ,741100 ,1 ,,שעות נוספות       ,שכר,0.00% ,"4,100 ","4,100 ","1,854.05"
140 ,741100 ,1 ,,השתתפות באחזקת רכב,שכר,-14.03% ,"61,900 ","72,000 ","69,693.45"
470 ,741100 ,1 ,,אחזקת מכונות משרד ,גמיש,0.00% ,"8,000 ","8,000 ","1,699.02"
471 ,741100 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,"15,000 ","15,000 ","16,264.06"
511 ,741100 ,1 ,,אירוח וכיבוד      ,גמיש,0.00% ,"2,400 ","2,400 ","2,372.65"
512 ,741100 ,1 ,,"נסיעות ואש""ל      ",גמיש,25.00% ,500 ,400 ,
522 ,741100 ,1 ,,ספרים ועיתונים    ,גמיש,26.67% ,"1,900 ","1,500 ",
561 ,741100 ,1 ,,שיכפולים          ,גמיש,0.00% ,"4,800 ","4,800 ",285.18
562 ,741100 ,1 ,,הדפסות            ,גמיש,25.00% ,"1,000 ",800 ,
565 ,741100 ,1 ,,מידע לתושב,גמיש,0.00% ,400 ,400 ,
741100  סך הכל ,,,,אגף התשתיות,,-25.16% ,"534,600 ","714,300 ","681,872.49"
000 ,742000 ,1 ,,דרכים ומדרכות     , ,,                ,                ,
100 ,742000 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,742000 ,1 ,,השכר הקובע-תקציבית,שכר,-28.96% ,"171,500 ","241,400 ","234,669.30"
119 ,742000 ,1 ,,השכר הקובע-צוברת  ,שכר,11.94% ,"1,280,700 ","1,144,100 ","720,328.03"
122 ,742000 ,1 ,,ביגוד             ,שכר,6.02% ,"26,400 ","24,900 ","20,433.55"
126 ,742000 ,1 ,,דמי הבראה         ,שכר,22.45% ,"46,900 ","38,300 ","33,532.90"
130 ,742000 ,1 ,,שעות נוספות       ,שכר,-17.33% ,"47,700 ","57,700 ","45,592.05"
140 ,742000 ,1 ,,השתתפות באחזקת רכב,שכר,-3.53% ,"144,900 ","150,200 ","101,910.40"
400 ,742000 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
500 ,742000 ,1 ,,הוצאות מינהליות   , ,,,,0.00
511 ,742000 ,1 ,,אירוח וכיבוד      ,גמיש,0.00% ,"3,600 ","3,600 ","4,402.00"
544 ,742000 ,1 ,,הוצאות דאר        ,קשיח,0.00% ,"13,000 ","13,000 ",560.20
571 ,742000 ,1 ,,"מיכון וענ""א       ",קשיח,12.25% ,"22,900 ","20,400 ","22,900.00"
580 ,742000 ,1 ,,יעוץ לטופס 4+5,גמיש,-38.46% ,"40,000 ","65,000 ","102,925.60"
596 ,742000 ,1 ,,השתתפות בעזר 096  ,קשיח,-1.79% ,"159,400 ","162,300 ","144,832.00"
700 ,742000 ,1 ,,הוצאות לפעולות    , ,,,,0.00
715 ,742000 ,1 ,,עבודות קבלניות-רכב,גמיש,0.00% ,"16,000 ","16,000 ",
722 ,742000 ,1 ,,חמרים-תחזוקה עצמית,גמיש,0.00% ,"120,000 ","120,000 ","43,173.00"
742 ,742000 ,1 ,,כלים וציוד        ,גמיש,12.50% ,"18,000 ","16,000 ","18,165.33"
745 ,742000 ,1 ,,מבצעי חורף        ,גמיש,0.00% ,"16,000 ","16,000 ","4,201.00"
754 ,742000 ,1 ,,עבודות קבלניות    ,גמיש,3.85% ,"1,350,000 ","1,300,000 ","1,196,313.00"
758 ,742000 ,1 ,,אחזקת כביש 20,קשיח,0.00% ,"270,000 ","270,000 ","47,759.00"
759 ,742000 ,1 ,,עבודת קבלני טרקטור,גמיש,0.00% ,"104,000 ","104,000 ","57,380.36"
794 ,742000 ,1 ,,השתתפות בעזר 094  ,קשיח,-1.22% ,"48,600 ","49,200 ","44,513.00"
931 ,742000 ,1 ,,הוצאות חד פעמיות  ,גמיש,0.00% ,"8,000 ","8,000 ",
960 ,742000 ,1 ,,רזרבה-תחזוקה כללית,גמיש,-28.57% ,"200,000 ","280,000 ","338,985.84"
742000  סך הכל ,,,,דרכים ומדרכות     ,,0.18% ,"4,107,600 ","4,100,100 ","3,182,576.56"
000 ,743000 ,1 ,,תאורת רחובות      , ,,                ,                ,
100 ,743000 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,743000 ,1 ,,השכר הקובע-תקציבית,שכר,-44.57% ,"251,200 ","453,200 ","434,443.44"
119 ,743000 ,1 ,,השכר הקובע-צוברת  ,שכר,26.50% ,"615,300 ","486,400 ","473,347.43"
122 ,743000 ,1 ,,ביגוד             ,שכר,0.33% ,"30,500 ","30,400 ","24,540.35"
126 ,743000 ,1 ,,דמי הבראה         ,שכר,2.13% ,"48,000 ","47,000 ","37,224.00"
130 ,743000 ,1 ,,שעות נוספות       ,שכר,2.96% ,"173,700 ","168,700 ","166,416.65"
140 ,743000 ,1 ,,השתתפות באחזקת רכב,שכר,-3.19% ,"154,700 ","159,800 ","150,295.40"
400 ,743000 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
431 ,743000 ,1 ,,חשמל              ,קשיח,0.00% ,"5,800,000 ","5,800,000 ","6,080,824.29"
500 ,743000 ,1 ,,הוצאות מינהליות   , ,,,,0.00
596 ,743000 ,1 ,,השתתפות בעזר 096  ,קשיח,-1.80% ,"610,700 ","621,900 ","554,918.00"
700 ,743000 ,1 ,,הוצאות לפעולות    , ,,,,0.00
722 ,743000 ,1 ,,פנסים ומנורות     ,גמיש,0.00% ,"550,000 ","550,000 ","450,597.12"
742 ,743000 ,1 ,,כלים וציוד        ,גמיש,0.00% ,"10,000 ","10,000 ","3,291.63"
745 ,743000 ,1 ,,תיקון נזקים       ,גמיש,0.00% ,"150,000 ","150,000 ","72,769.00"
754 ,743000 ,1 ,,עבודות תאורה      ,גמיש,3.32% ,"280,000 ","271,000 ","256,254.00"
758 ,743000 ,1 ,,צביעת עמודי תאורה ,גמיש,25.00% ,"100,000 ","80,000 ","180,145.00"
794 ,743000 ,1 ,,השתתפות בעזר 094  ,קשיח,-1.23% ,"80,400 ","81,400 ","73,659.00"
900 ,743000 ,1 ,,הוצאות חד פעמיות  , ,,,,0.00
743000  סך הכל ,,,,תאורת רחובות      ,,-0.62% ,"8,854,500 ","8,909,800 ","8,958,725.31"
000 ,744000 ,1 ,,בטיחות בדרכים     , ,,,,
119 ,744000 ,1 ,,השכר הקובע-צוברת,שכר,-0.45% ,"111,200 ","111,700 ","112,510.07"
122 ,744000 ,1 ,,ביגוד,שכר,3.85% ,"2,700 ","2,600 ","2,095.00"
126 ,744000 ,1 ,,דמי הבראה,שכר,10.17% ,"6,500 ","5,900 ","4,653.00"
130 ,744000 ,1 ,,שעות נוספות,שכר,13.33% ,"17,000 ","15,000 ","16,414.55"
140 ,744000 ,1 ,,השתתפות באחזקת רכב,שכר,23.95% ,"20,700 ","16,700 ","16,397.15"
400 ,744000 ,1 ,,אחזקת בנינים וציוד,,,,,0.00
431 ,744000 ,1 ,,חשמל              ,קשיח,0.00% ,"540,000 ","540,000 ","548,542.38"
571 ,744000 ,1 ,,"מיכון וענ""א       ",קשיח,12.29% ,"45,700 ","40,700 ","45,600.00"
700 ,744000 ,1 ,,הוצאות לפעולות    , ,,,,0.00
722 ,744000 ,1 ,,חמרים-תחזוקה עצמית,גמיש,12.50% ,"180,000 ","160,000 ","139,588.02"
742 ,744000 ,1 ,,כלים וציוד        ,גמיש,0.00% ,"8,000 ","8,000 ",938.05
754 ,744000 ,1 ,,עב' בטיחות בדרכים ,גמיש,2.86% ,"720,000 ","700,000 ","695,530.00"
784 ,744000 ,1 ,,תמרור תחנות אוטוב',גמיש,0.00% ,"32,000 ","32,000 ","12,997.00"
794 ,744000 ,1 ,,השתתפות בעזר 094  ,קשיח,-1.22% ,"72,600 ","73,500 ","66,581.00"
744000  סך הכל ,,,,בטיחות בדרכים     ,,2.95% ,"1,756,400 ","1,706,100 ","1,661,846.22"
000 ,745000 ,1 ,,תיעול ונקוז       , ,,                ,                ,
119 ,745000 ,1 ,,השכר הקובע-צוברת,שכר,12.93% ,"314,400 ","278,400 ","275,381.56"
122 ,745000 ,1 ,,ביגוד,שכר,3.85% ,"2,700 ","2,600 ","2,095.00"
126 ,745000 ,1 ,,דמי הבראה,שכר,0.00% ,"4,800 ","4,800 ","3,807.00"
140 ,745000 ,1 ,,השתתפות באחזקת רכב,שכר,14.87% ,"47,900 ","41,700 ","38,172.60"
700 ,745000 ,1 ,,הוצאות לפעולות    , ,,                ,                ,0.00
722 ,745000 ,1 ,,חמרים-תחזוקה עצמית,גמיש,0.00% ,"8,000 ","8,000 ",
742 ,745000 ,1 ,,כלים וציוד        ,גמיש,0.00% ,"8,000 ","8,000 ",
754 ,745000 ,1 ,,עבודות קבלניות    ,גמיש,14.29% ,"400,000 ","350,000 ","448,296.64"
757 ,745000 ,1 ,,הערכות לחורף,גמיש,0.00% ,"320,000 ","320,000 ","153,862.14"
758 ,745000 ,1 ,,אחזקת תעלות       ,גמיש,0.00% ,"100,000 ","100,000 ","42,934.08"
759 ,745000 ,1 ,,ניקוי מובלים,גמיש,-50.00% ,"200,000 ","400,000 ","6,671.71"
760 ,745000 ,1 ,,"התחשבנות תחז' עת""א",קשיח,0.00% ,"20,000 ","20,000 ","18,269.00"
800 ,745000 ,1 ,,השת' תמיכות תרומות, ,,,,0.00
832 ,745000 ,1 ,,רשות הניקוז-ירקון ,קשיח,44.60% ,"581,300 ","402,000 ","392,193.00"
745000  סך הכל ,,,,תיעול ונקוז       ,,3.70% ,"2,007,100 ","1,935,500 ","1,381,682.73"
000 ,746000 ,1 ,,גנים ונטיעות      , ,,                ,                ,
000 ,746100 ,1 ,,גינות צבוריות ונוף, ,,                ,                ,
100 ,746100 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,746100 ,1 ,,השכר הקובע-תקציבית,שכר,-2.82% ,"2,378,200 ","2,447,300 ","2,611,983.29"
119 ,746100 ,1 ,,השכר הקובע-צוברת  ,שכר,-1.26% ,"2,221,700 ","2,250,100 ","1,592,373.98"
122 ,746100 ,1 ,,ביגוד             ,שכר,-14.95% ,"107,500 ","126,400 ","107,485.30"
126 ,746100 ,1 ,,דמי הבראה         ,שכר,-14.34% ,"113,500 ","132,500 ","247,242.82"
130 ,746100 ,1 ,,שעות נוספות       ,שכר,3.25% ,"193,700 ","187,600 ","232,869.20"
140 ,746100 ,1 ,,השתתפות באחזקת רכב,שכר,0.59% ,"495,000 ","492,100 ","461,320.25"
200 ,746100 ,1 ,,שכר עובדים ללא תקן, ,,,,0.00
210 ,746100 ,1 ,,השכר הקובע        ,שכר,136.78% ,"144,200 ","60,900 ","19,953.74"
253 ,746100 ,1 ,,עובדים חיצוניים   ,שכר,-50.25% ,"20,000 ","40,200 ","53,684.24"
400 ,746100 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
431 ,746100 ,1 ,,חשמל              ,קשיח,0.00% ,"60,000 ","60,000 ","53,512.50"
432 ,746100 ,1 ,,מים               ,קשיח,0.00% ,"4,200,000 ","4,200,000 ","5,134,207.70"
433 ,746100 ,1 ,,חומרי נקיון       ,גמיש,0.00% ,"3,000 ","3,000 ","2,459.53"
437 ,746100 ,1 ,,אחזקת אזעקה       ,קשיח,0.00% ,"2,000 ","2,000 ",
470 ,746100 ,1 ,,אחזקת מכונות משרד ,גמיש,0.00% ,"4,500 ","4,500 ","3,886.70"
471 ,746100 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,"20,000 ","20,000 ","19,842.97"
492 ,746100 ,1 ,,השתתפות בעזר 092  ,קשיח,0.23% ,"266,400 ","265,800 ","237,641.00"
500 ,746100 ,1 ,,הוצאות מינהליות   , ,,,,0.00
511 ,746100 ,1 ,,אירוח וכיבוד      ,גמיש,0.00% ,"3,200 ","3,200 ","3,817.47"
512 ,746100 ,1 ,,"נסיעות ואש""ל      ",גמיש,0.00% ,"1,000 ","1,000 ",
522 ,746100 ,1 ,,ספרים ועיתונים    ,גמיש,0.00% ,"3,800 ","3,800 ","4,207.00"
544 ,746100 ,1 ,,הוצאות דאר        ,קשיח,0.00% ,"1,200 ","1,200 ",650.98
562 ,746100 ,1 ,,הדפסות            ,גמיש,0.00% ,"2,400 ","2,400 ","3,000.00"
565 ,746100 ,1 ,,צילומים והעתקות   ,גמיש,0.00% ,"8,700 ","8,700 ","8,697.79"
571 ,746100 ,1 ,,"מיכון וענ""א       ",קשיח,12.26% ,"183,100 ","163,100 ","182,900.00"
580 ,746100 ,1 ,,יועצים-חיצוניים   ,קשיח,0.00% ,"730,000 ","730,000 ","677,826.50"
596 ,746100 ,1 ,,השתתפות בעזר 096  ,קשיח,-1.78% ,"292,300 ","297,600 ","265,598.00"
715 ,746100 ,1 ,,עבודות קבלניות-רכב,גמיש,-66.67% ,"50,000 ","150,000 ","96,875.69"
722 ,746100 ,1 ,,חמרים-תחזוקה עצמית,גמיש,-16.67% ,"100,000 ","120,000 ","124,443.23"
728 ,746100 ,1 ,,רכישת צמחים       ,גמיש,0.00% ,"60,000 ","60,000 ","59,386.30"
742 ,746100 ,1 ,,כלים וציוד        ,גמיש,0.00% ,"48,000 ","48,000 ","58,152.54"
754 ,746100 ,1 ,,עבודות מסגרות,קשיח,-80.00% ,"70,000 ","350,000 ","332,993.80"
756 ,746100 ,1 ,,שמירה בקבלנות     ,גמיש,0.00% ,"532,200 ","532,200 ","537,300.85"
757 ,746100 ,1 ,,גיזום עצים בקבלנות,גמיש,0.25% ,"800,000 ","798,000 ","779,999.20"
758 ,746100 ,1 ,,קבלני גינון גנים  ,קשיח,1.88% ,"8,150,000 ","8,000,000 ","7,783,000.80"
759 ,746100 ,1 ,,"עב"" קבלניות שונות ",גמיש,5.65% ,"355,000 ","336,000 ","372,314.65"
780 ,746100 ,1 ,,אחזקת אדניות      ,גמיש,0.00% ,"55,000 ","55,000 ","53,594.50"
781 ,746100 ,1 ,,תחרות קירייה יפה  ,גמיש,0.00% ,"4,800 ","4,800 ","4,040.40"
782 ,746100 ,1 ,,אחזקת פינת ליטוף  ,גמיש,0.00% ,"200,000 ","200,000 ","209,857.11"
784 ,746100 ,1 ,,גן הקקטוסים,גמיש,0.00% ,"7,400 ","7,400 ","6,281.70"
794 ,746100 ,1 ,,השתתפות בעזר 094  ,קשיח,-1.26% ,"141,400 ","143,200 ","129,624.00"
923 ,746100 ,1 ,,תחז' יצירות אומנות,גמיש,11.11% ,"500,000 ","450,000 ","425,300.00"
931 ,746100 ,1 ,,רכישות חד פעמיות  ,גמיש,0.00% ,"184,000 ","184,000 ","282,615.75"
932 ,746100 ,1 ,,אחזקת מזרקות,קשיח,0.00% ,"450,000 ","450,000 ","437,948.30"
933 ,746100 ,1 ,,אחזקת מתקני משחק,קשיח,0.00% ,"1,150,000 ","1,150,000 ","1,136,999.50"
934 ,746100 ,1 ,,עבודות טכניות,קשיח,78.43% ,"910,000 ","510,000 ","538,999.60"
935 ,746100 ,1 ,,תיקונים מוונדליזם,גמיש,0.00% ,"300,000 ","300,000 ","441,158.50"
936 ,746100 ,1 ,,אחזקת ספסלים,גמיש,0.00% ,"270,000 ","270,000 ","162,999.20"
937 ,746100 ,1 ,,אחזקת מתקני כושר,גמיש,32.14% ,"185,000 ","140,000 ",
746100  סך הכל ,,,,גינות צבוריות ונוף,,0.84% ,"25,978,200 ","25,762,000 ","25,899,046.58"
000 ,746700 ,1 ,,פארק פרס, ,,                ,                ,
432 ,746700 ,1 ,,מים               ,קשיח,0.00% ,"750,000 ","750,000 ","599,005.20"
780 ,746700 ,1 ,,אחזקת פארק פרס,גמיש,0.00% ,,,
870 ,746700 ,1 ,,אחזקת פארק פרס,גמיש,11.11% ,"1,800,000 ","1,620,000 ","1,710,000.00"
871 ,746700 ,1 ,,אחזקת מגדל המים,גמיש,0.00% ,"4,800 ","4,800 ","4,560.00"
931 ,746700 ,1 ,,"הוצאות ח""פ - פארק",גמיש,0.00% ,,,
746700  סך הכל ,,,,פארק פרס, ,7.58% ,"2,554,800 ","2,374,800 ","2,313,565.20"
000 ,750000 ,1 ,,חגיגות מבצעים     , ,,                ,                ,
000 ,751000 ,1 ,,חגיגות יום העצמאות, ,,                ,                ,
210 ,751000 ,1 ,,השכר הקובע        ,שכר,40.83% ,"16,900 ","12,000 ",
400 ,751000 ,1 ,,אחזקת בנינים וציוד, ,,,,
700 ,751000 ,1 ,,הוצאות לפעולות    , ,,,,0.00
782 ,751000 ,1 ,,הפקת ארועים       ,גמיש,17.14% ,"820,000 ","700,000 ","939,593.37"
751000  סך הכל ,,,,חגיגות יום העצמאות,,17.54% ,"836,900 ","712,000 ","939,593.37"
000 ,752000 ,1 ,,חגיגות+טכסים אחרים, ,,                ,                ,
514 ,752000 ,1 ,,מתנות עירייה      ,גמיש,0.00% ,"22,400 ","22,400 ","9,620.00"
700 ,752000 ,1 ,,הוצאות לפעולות    , ,,,,0.00
781 ,752000 ,1 ,,ארועים            ,גמיש,0.00% ,"80,000 ","80,000 ","95,006.85"
783 ,752000 ,1 ,,רכ'מדליונים וספרים,גמיש,0.00% ,"15,400 ","15,400 ","18,947.65"
784 ,752000 ,1 ,,75 שנים לחולון,גמיש,0.00% ,"200,000 ",,
752000  סך הכל ,,,,חגיגות+טכסים אחרים,,169.78% ,"317,800 ","117,800 ","123,574.50"
000 ,753000 ,1 ,,פעולות אימוץ      , ,,                ,                ,
800 ,753000 ,1 ,,השת' תמיכות תרומות, ,,                ,                ,0.00
881 ,753000 ,1 ,,אימוץ הגדוד ועד   ,גמיש,0.00% ,"6,400 ","6,400 ",
883 ,753000 ,1 ,,"אימוץ ממר""מ       ",גמיש,0.00% ,"3,200 ","3,200 ",
753000  סך הכל ,,,,פעולות אימוץ      ,,0.00% ,"9,600 ","9,600 ",0.00
000 ,754000 ,1 ,,קשרים בינלאומיים  , ,,                ,                ,
513 ,754000 ,1 ,,משלח' נכנסות/יוצאות,גמיש,0.00% ,"150,000 ","150,000 ","173,613.72"
515 ,754000 ,1 ,,משלחות נוער,גמיש,0.00% ,"240,000 ","240,000 ","197,691.00"
700 ,754000 ,1 ,,הוצאות לפעולות    , ,,,,0.00
754000  סך הכל ,,,,קשרים בינלאומיים  ,,0.00% ,"390,000 ","390,000 ","371,304.72"
000 ,760000 ,1 ,,שרותים שונים      , ,,                ,                ,
000 ,761000 ,1 ,,מוקד ויעוץ לאזרחים, ,,                ,                ,
110 ,761000 ,1 ,,השכר הקובע-תקציבית,שכר,27.35% ,"592,800 ","465,500 ","477,584.85"
119 ,761000 ,1 ,,השכר הקובע-צוברת  ,שכר,-7.70% ,"1,518,400 ","1,645,000 ","986,952.86"
122 ,761000 ,1 ,,ביגוד             ,שכר,28.09% ,"38,300 ","29,900 ","25,060.15"
126 ,761000 ,1 ,,דמי הבראה         ,שכר,27.00% ,"93,600 ","73,700 ","61,244.80"
130 ,761000 ,1 ,,שעות נוספות       ,שכר,3.25% ,"340,200 ","329,500 ","393,562.95"
140 ,761000 ,1 ,,השתתפות באחזקת רכב,שכר,30.62% ,"147,600 ","113,000 ","134,805.60"
471 ,761000 ,1 ,,מכשירי כתיבה      ,גמיש,0.00% ,"10,000 ","10,000 ","7,047.96"
492 ,761000 ,1 ,,השתתפות בעזר 092  ,קשיח,0.18% ,"108,900 ","108,700 ","97,203.00"
511 ,761000 ,1 ,,אירוח וכיבוד      ,גמיש,0.00% ,"5,800 ","5,800 ","4,225.42"
544 ,761000 ,1 ,,הוצאות דאר        ,קשיח,0.00% ,"1,500 ","1,500 ",1.51
562 ,761000 ,1 ,,הדפסות            ,גמיש,0.00% ,"1,600 ","1,600 ",395.00
571 ,761000 ,1 ,,"מיכון וענ""א       ",קשיח,12.23% ,"102,800 ","91,600 ","102,700.00"
596 ,761000 ,1 ,,השתתפות בעזר 096  ,קשיח,-1.85% ,"79,700 ","81,200 ","72,458.00"
743 ,761000 ,1 ,,ציוד ואחזקתו      ,גמיש,0.00% ,"8,000 ","8,000 ","4,320.33"
754 ,761000 ,1 ,,עבודות קבלניות    ,גמיש,0.00% ,"12,000 ","12,000 ",461.45
