"תקציב 2016","שם הסעיף","מספר סעיף"
138603,"החזר הוצאות",7820-113-0
397102,"הפרשות סוציאליות",7820-116-1
175954,"מסים והיטלים על השכר",7820-117-8
274,"החזקת רכב",7820-118-5
12969,"שעות נוספות",7820-119-2
250000,"חשמל, מים וניקיון",7820-430-8
108792,"כיבוס מדים",7820-451-1
86909,"ציוד וכלי עבודה",7820-460-7
14191,כיבודים,7820-610-4
27960,"מים לשתייה",7820-620-7
70000,"הוצאות ארגוניות ושונות",7820-682-9
898158,"משכורת ושכר משולבים",7835-111-8
413631,תוספות,7835-112-5
79133,"החזר הוצאות",7835-113-2
285380,"הפרשות סוציאליות",7835-116-3
133984,"מסים והיטלים על השכר",7835-117-0
190426,"החזקת רכב",7835-118-7
118136,"שעות נוספות",7835-119-4
27263,"בגדי עבודה",7835-215-7
731871,"קריית העירייה - העמסה",7835-400-1
59202,"כלי רכב בליסינג תפעולי",7835-424-5
7467017,"ביטוח - העמסה",7835-440-3
240660,"תקשורת סלולרית",7835-448-9
15349,"כיבוס מדים",7835-451-3
35000,"ציוד משרדי והדפסות",7835-460-9
70000,"החזקת מכונות צילום",7835-470-2
,"מדריך לעובד",7835-471-9
3620,"עיתונות וספרות",7835-480-5
23935,"רכש ואספקה - העמסה",7835-490-8
54571,"טלפונים - העמסה",7835-541-1
136179,דואר,7835-545-9
42229,כיבודים,7835-610-6
45000,פרסומים,7835-630-2
53280,"חוות דעת של רופא מומחה",7835-671-1
4000,"השתלמויות נהיגה",7835-680-7
30867,"הטמעת מערך לשיפור השירות",7835-688-3
95165,"מוסך ותחבורה - העמסה",7835-710-7
189317,דלק,7835-735-8
1230959,"מחשוב עירוני - העמסה",7835-755-4
3798625,"משכורת ושכר משולבים",7840-111-0
5037858,תוספות,7840-112-7
850398,"החזר הוצאות",7840-113-4
2897018,"הפרשות סוציאליות",7840-116-5
1032208,"מסים והיטלים על השכר",7840-117-2
1406542,"החזקת רכב",7840-118-9
2263663,"שעות נוספות",7840-119-6
404235,"בגדי עבודה",7840-215-9
85275,"שכר דירה",7840-410-6
604508,"החזקה ותיקון של מסופונים",7840-420-9
59202,"כלי רכב בליסינג תפעולי",7840-424-7
17000,"חשמל, מים וניקיון",7840-430-2
199541,"כיבוס מדים",7840-451-5
142000,"ציוד משרדי והדפסת טפסים",7840-460-1
2087686,"הדפסת דוחות ומעטפיות",7840-462-5
234129,"חלוקת תווי חניה",7840-465-6
10000,נסיעות,7840-510-7
,דואר,7840-545-1
70459,"מים לשתייה לפקחים",7840-620-1
649559,"חניה סלולרית",7840-622-5
54054,"מערכת הסבת דוחות חניה",7840-623-2
193440,"הסעת פקחים",7840-712-3
655513,"אכיפת חניה באמצעים טכנולוגיים",7840-752-5
100000,"גרירת כלי רכב",7840-753-2
81900,"תשלום לעורכי דין חיצוניים",7840-782-4
70000,"רכישת ציוד",7840-930-7
253606,"משכורת ושכר משולבים",7845-111-5
208536,תוספות,7845-112-2
27224,"החזר הוצאות",7845-113-9
108379,"הפרשות סוציאליות",7845-116-0
51101,"מסים והיטלים על השכר",7845-117-7
118253,"החזקת רכב",7845-118-4
55048,"שעות נוספות",7845-119-1
150000,"בקרה על תקבולים מזכיינים",7845-613-4
568920,"חניון עין כרם",7845-740-3
33000,"תחזוקת חניונים עירוניים",7845-749-6
4879550,"תפעול והחזקה של מדחנים",7845-754-4
15000,"בקרה בחניון הלאום",7845-757-5
30650,"שיפור מערך תמרור וסימון",7845-758-2
69360,"החזקת מחסומים",7845-781-2
20000,"סקרי חניה",7845-785-0
53124,"תקשורת-חניה סלולרית",7845-786-7
30867,"פיקוח על חניונים ציבוריים",7845-787-4
950000,"הסדרי חניה בקמפוס הר הצופים",7845-953-9
2345164,"משכורת ושכר משולבים",7910-111-2
1208076,תוספות,7910-112-9
239123,"החזר הוצאות",7910-113-6
1070162,"הפרשות סוציאליות",7910-116-7
405940,"מסים והיטלים על השכר",7910-117-4
590519,"החזקת רכב",7910-118-1
274589,"שעות נוספות",7910-119-8
236808,"כלי רכב בליסינג תפעולי",7910-424-9
27855,"תקשורת סלולרית",7910-448-3
11122,"ציוד משרדי",7910-460-3
2615,"נייר הדפסה וצילום",7910-462-7
7704,"החזקת מכונות משרד ומחשוב",7910-470-6
7090,"עיתונות וספרות",7910-480-9
18180,נסיעות,7910-510-9
12046,כיבודים,7910-610-0
658712,"משכורת ושכר משולבים",7915-111-7
251474,תוספות,7915-112-4
59127,"החזר הוצאות",7915-113-1
290583,"הפרשות סוציאליות",7915-116-2
87146,"מסים והיטלים על השכר",7915-117-9
78238,"החזקת רכב",7915-118-6
39475,"שעות נוספות",7915-119-3
657602,"קריית העירייה - העמסה",7915-400-0
59202,"כלי רכב בליסינג תפעולי",7915-424-4
60835,"תקשורת סלולרית",7915-448-8
35000,"החזקת מכונות משרד ומחשוב",7915-450-5
11826,"ציוד משרדי",7915-460-8
19345,"נייר הדפסה וצילום",7915-462-2
11500,"תיקי ארכיב",7915-469-1
7519,"עיתונות וספרות",7915-480-4
5886,"רכש ואספקה - העמסה",7915-490-7
4500,נסיעות,7915-510-4
45775,"טלפונים - העמסה",7915-541-0
200000,"הקלטות ותמלול בוועדות",7915-542-7
15602,כיבודים,7915-610-5
75000,פרסומים,7915-630-1
22400,"כיבודים לוועדות",7915-681-3
24225,"הוצאות ארגוניות ושונות",7915-682-0
,"נסחי רישום מהטאבו",7915-685-1
12438,"מודל מצוינות",7915-688-2
,"חינוך והעשרה בנושא שימור",7915-722-3
30000,"ציפוי ושחזור של תב״ע",7915-723-0
1487467,"מחשוב עירוני - העמסה",7915-755-3
60000,"יועץ להתקשרויות ולחוזים",7915-791-7
3006866,"משכורת ושכר משולבים",7920-111-9
1414897,תוספות,7920-112-6
340264,"ההזר הוצאות",7920-113-3
1242270,"הפרשות סוציאליות",7920-116-4
460125,"מסים והיטלים על השכר",7920-117-1
813802,"החזקת רכב",7920-118-8
353640,"שעות נוספות",7920-119-5
180000,"קניית שירותי כ״א",7920-211-0
59202,"כלי רכב בליסינג תפעולי",7920-424-6
14000,"כיבוד לוועדות שימור",7920-681-5
1572000,"מתכננים פיזיים בשכונות",7920-805-1
1230000,"מתכננים רובעיים",7920-806-8
975882,"משכורת ושכר משולבים",7310-111-4
313978,תוספות,7310-112-1
67210,"החזר הוצאות",7310-113-8
307890,"הפרשות סוציאליות",7310-116-9
128403,"מסים והיטלים על השכר",7310-117-6
110953,"החזקת רכב",7310-118-3
96133,"שעות נוספות",7310-119-0
2058,"בגדי עבודה",7310-215-3
1135615,"קריית העירייה - העמסה",7310-400-7
177606,"כלי רכב בליסינג תפעולי",7310-424-1
631269,"ביטוח - העמסה",7310-440-9
60526,"תקשורת סלולרית",7310-448-5
22528,"החזקת מכונות משרד ומחשוב",7310-450-2
21468,"מנויים בחניון העירייה",7310-460-5
7647,"נייר הדפסה וצילום",7310-462-9
5000,"תיקי ארכיב",7310-465-0
,"החזקת מכונות צילום",7310-470-8
9000,"עיתונות וספרות",7310-480-1
5101,"רכש ואספקה - העמסה",7310-490-4
5080,נסיעות,7310-510-1
64842,"טלפונים - העמסה",7310-541-7
6000,"העסקת בני שירות",7310-543-1
36434,דואר,7310-545-5
30054,כיבודים,7310-610-2
20000,פרסומים,7310-630-8
15900,"הוצאות ארגוניות ושונות",7310-682-7
240949,דלק,7310-735-4
871784,"מחשוב עירוני - העמסה",7310-755-0
16332,"ציוד משרדי",7310-930-1
250000,"ביצוע עבודות לגורמים משלמים",7310-954-5
464793,"משכורת ושכר משולבים",7314-111-0
445792,תוספות,7314-112-7
56089,"החזר הוצאות",7314-113-4
232456,"הפרשות סוציאליות",7314-116-5
102478,"מסים והיטלים על השכר",7314-117-2
183089,"החזקת רכב",7314-118-9
146352,"שעות נוספות",7314-119-6
59202,"כלי רכב בליסינג תפעולי",7314-424-7
30740,"מוסך ותחבורה - העמסה",7314-710-9
8000,שליחויות,7314-712-3
50000,"פיקוח - סיבים אופטיים",7314-950-3
,"סיבים אופטיים",7314-958-9
755013,"משכורת ושכר משולבים",7315-111-9
527710,תוספות,7315-112-6
103550,"החזר הוצאות",7315-113-3
347495,"הפרשות סוציאליות",7315-116-4
141198,"מסים והיטלים על השכר",7315-117-1
284689,"החזקת רכב",7315-118-8
132404,"שעות נוספות",7315-119-5
59202,"כלי רכב בליסינג תפעולי",7315-424-6
32584,"מוסך ותחבורה - העמסה",7315-710-8
299399,"משכורת ושכר משולבים",7317-111-7
251063,תוספות,7317-112-4
34074,"החזר הוצאות",7317-113-1
134963,"הפרשות סוציאליות",7317-116-2
58660,"מסים והיטלים על השכר",7317-117-9
118334,"החזקת רכב",7317-118-6
60162,"שעות נוספות",7317-119-3
1735675,"החזקת סככות brt",7317-425-1
2312340,"החזקת תחנות מרכזיות-מזרח העיר",7317-742-9
820000,"ניקיון ותחזוקת סככות המתנה",7317-756-0
80000,"העתקת סככות המתנה",7317-760-1
390000,"בקרת תשתיות תחבורה",7317-783-8
1936328,"משכורת ושכר משולבים",7318-111-6
1544810,תוספות,7318-112-3
263089,"החזר הוצאות",7318-113-0
857123,"הפרשות סוציאליות",7318-116-1
350023,"מסים והיטלים על השכר",7318-117-8
585294,"החזקת רכב",7318-118-5
218384,"שעות נוספות",7318-119-2
2351513,"זרם חשמל לרמזורים ושילוט",7318-430-8
5177789,"תחזוקת חניוני חנה וסע",7318-435-3
320000,"פרסום הסדרי תח""צ",7318-630-0
91911,"מוסך ותחבורה - העמסה",7318-710-5
12000,"רכישת ציוד למדור לרמזורים",7318-720-8
610000,"עבודה קבלנית לתיקון נזקים",7318-750-7
5445195,"החזקת רמזורים באמצעות קבלנים",7318-752-1
2253953,"החזקת הבקרה המרכזית לרמזורים",7318-754-5
248428,"החזקת שלטי מידע והניונים",7318-769-3
278684,"תחזוקת מרכז ניהול תנועה",7318-775-8
2191605,"החזקת מערכות מנהרות עמק הארזים",7318-779-6
5373967,"החזקת המערכות בשדרות מנחם בגין",7318-780-6
1952439,"החזקת המערכות בכביש הר הצופים",7318-781-3
862220,"החזקת המערכות במנהרת כיכר צה״ל",7318-782-0
100000,"יועץ תנועה",7318-791-6
40000,"פינוי כלי רכב ממנהרות",7318-792-3
1100000,"תמרורים זמניים",7318-794-7
350000,"תיקון נזקי תאונות -הסדרי תנועה",7318-951-6
705364,"משכורת ושכר משולבים",7930-111-6
317411,תוספות,7930-112-3
67664,"החזר הוצאות",7930-113-0
196027,"הפרשות סוציאליות",7930-116-1
108534,"מסים והיטלים על השכר",7930-117-8
103096,"החזקת רכב",7930-118-5
23802,"שעות נוספות",7930-119-2
,"קניית שירותי כ״א",7930-200-7
1687808,"קריית העירייה - העמסה",7930-400-9
80622,"אבטחה ושמירה - העמסה",7930-415-7
34698,"סדרן לימי קבלת קהל",7930-419-5
59202,"כלי רכב בליסינג תפעולי",7930-424-3
138097,"תקשורת סלולרית",7930-448-7
62769,"החזקת מכונות משרד ומחשוב",7930-450-4
18031,"כיבוס מדים",7930-451-1
52883,"מנויים בחניון העירייה",7930-460-7
44393,"נייר הדפסה וצילום",7930-462-1
123500,"תיקי ארכיב",7930-465-2
8328,"עיתונות וספרות",7930-480-3
54996,"החזקת מכונות צילום",7930-482-7
1962,"רכש ואספקה - העמסה",7930-490-6
9120,נסיעות,7930-510-3
121276,"טלפונים - העמסה",7930-541-9
18000,"העסקת בני שירות",7930-543-3
34832,כיבודים,7930-610-4
20500,"פרסום בעיתונות",7930-630-0
4000,"נסחי רישום מהטאבו",7930-633-1
22400,"כיבודים לוועדות היתרים",7930-681-2
25237,"הוצאות ארגוניות ושונות",7930-682-9
58076,"מודל מצוינות",7930-688-1
757270,דלק,7930-735-6
1441518,"מחשוב עירוני - העמסה",7930-755-2
23969,"ציוד משרדי",7930-930-3
1155177,"משכורת ושכר משולבים",7933-111-3
843207,תוספות,7933-112-0
132083,"החזר הוצאות",7933-113-7
504675,"הפרשות סוציאליות",7933-116-8
226831,"מסים והיטלים על השכר",7933-117-5
377605,"החזקת רכב",7933-118-2
314998,"שעות נוספות",7933-119-9
59202,"כלי רכב בליסינג תפעולי",7933-424-0
20000,"רכישת מפות",7933-792-0
115000,"יועץ לתשתית ומדידות",7933-793-7
802253,"משכורת ושכר משולבים",7935-111-1
235493,תוספות,7935-112-8
102483,"החזר הוצאות",7935-113-5
326513,"הפרשות סוציאליות",7935-116-6
110916,"מסים והיטלים על השכר",7935-117-3
205722,"החזקת רכב",7935-118-0
90857,"שעות נוספות",7935-119-7
222970,"משכורת ושכר משולבים",7937-111-9
167849,תוספות,7937-112-6
22089,"החזר הוצאות",7937-113-3
108485,"הפרשות סוציאליות",7937-116-4
58913,"מסים והיטלים על השכר",7937-117-1
273651,"החזקת רכב",7937-118-8
33993,"שעות נוספות",7937-119-5
59202,"כלי רכב בליסינג תפעולי",7937-424-6
2416790,"משכורת ושכר משולבים",7940-111-3
1391418,תוספות,7940-112-0
344411,"החזר הוצאות",7940-113-7
1204137,"הפרשות סוציאליות",7940-116-8
425056,"מסים והיטלים על השכר",7940-117-5
749226,"החזקת רכב",7940-118-2
302812,"שעות נוספות",7940-119-9
177606,"כלי רכב בליסינג תפעולי",7940-424-0
84000,"סריקת הרמוניקות בפתיחת תיק",7940-466-6
2177310,"משכורת ושכר משולבים",7945-111-8
2042144,תוספות,7945-112-5
378604,"החזר הוצאות",7945-113-2
1240501,"הפרשות סוציאליות",7945-116-3
480735,"מסים והיטלים על השכר",7945-117-0
1077108,"החזקת רכב",7945-118-7
422092,"שעות נוספות",7945-119-4
19125,"בגדי עבודה",7945-215-7
,"כלי רכב בליסינג תפעולי",7945-424-5
421152,"מוסך ותחבורה - העמסה",7945-710-7
18000,"חומרים וכלי עזר לעבודה",7945-720-0
513855,"משכורת ושכר משולבים",7955-111-5
599272,תוספות,7955-112-2
65625,"החזר הוצאות",7955-113-9
328598,"הפרשות סוציאליות",7955-116-0
121258,"מסים והיטלים על השכר",7955-117-7
191896,"החזקת רכב",7955-118-4
219129,"שעות נוספות",7955-119-1
,"כלי רכב בליסינג תפעולי",7955-424-2
3000,"חומרים וכלי עזר לעבודה",7955-720-7
795244,"משכורת ושכר משולבים",9310-111-6
209065,תוספות,9310-112-3
63789,"החזר הוצאות",9310-113-0
213080,"הפרשות סוציאליות",9310-116-1
100148,"מסים והיטלים על השכר",9310-117-8
168258,"החזקת רכב",9310-118-5
47268,"שעות נוספות",9310-119-2
800,"בגדי עבודה",9310-215-5
378508,"קריית העירייה - העמסה",9310-400-9
31646,"תקשורת סלולרית",9310-448-7
29000,"החזקת מכונות משרד ומחשוב",9310-450-4
3000,"תיקי ארכיב",9310-465-2
17020,"עיתונות וספרות",9310-480-3
1569,"רכש ואספקה - העמסה",9310-490-6
11115,"נסיעות וחנייה",9310-514-1
20680,"טלפונים - העמסה",9310-541-9
10200,כיבודים,9310-610-4
,"פרסום איתורים והקצאת מקרקעין",9310-630-0
586384,"מחשוב עירוני - העמסה",9310-755-2
16000,"רכישת ציוד",9310-930-3
5000,"ביצוע עבודות לגורמים משלמים",9310-952-3
764744,"משכורת ושכר משולבים",9320-111-3
627036,תוספות,9320-112-0
92993,"החזר הוצאות",9320-113-7
362884,"הפרשות סוציאליות",9320-116-8
158438,"מסים והיטלים על השכר",9320-117-5
252510,"החזקת רכב",9320-118-2
223583,"שעות נוספות",9320-119-9
"18,404 1","כלי רכב בליסינג תפעולי",9320-424-0
951678,"משכורת ושכר משולבים",9330-111-0
249479,תוספות,9330-112-7
99607,"החזר הוצאות",9330-113-4
347164,"הפרשות סוציאליות",9330-116-5
124157,"מסים והיטלים על השכר",9330-117-2
190311,"החזקת רכב",9330-118-9
64246,"שעות נוספות",9330-119-6
59202,"כלי רכב בליסינג תפעולי",9330-424-7
155088,"משכורת ושכר משולבים",9340-111-7
162664,תוספות,9340-112-4
24886,"החזר הוצאות",9340-113-1
63229,"הפרשות סוציאליות",9340-116-2
33972,"מסים והיטלים על השכר",9340-117-9
31501,"החזקת רכב",9340-118-6
18454,"שעות נוספות",9340-119-3
59202,"כלי רכב בליסינג תפעולי",9340-424-4
2640,"תקשורת סלולרית",9340-448-8
2286,כיבודים,9340-610-5
37714,"הוצאות ארגוניות ושונות",9340-682-0
420375,"משכורת ושכר משולבים",9360-111-1
70789,תוספות,9360-112-8
38850,"החזר הוצאות",9360-113-5
127494,"הפרשות סוציאליות",9360-116-6
51100,"מסים והיטלים על השכר",9360-117-3
91396,"החזקת רכב",9360-118-0
38935,"שעות נוספות",9360-119-7
685034,"משכורת ושכר משולבים",7925-111-4
677896,תוספות,7925-112-1
105335,"החזר הוצאות",7925-113-8
335029,"הפרשות סוציאליות",7925-116-9
140500,"מסים והיטלים על השכר",7925-117-6
195695,"החזקת רכב",7925-118-3
133637,"שעות נוספות",7925-119-0
159636,"קריית העירייה - העמסה",7925-400-7
59202,"כלי רכב בליסינג תפעולי",7925-424-1
11920,"תקשורת סלולרית",7925-448-5
3531,"רכש ואספקה - העמסה",7925-490-4
,נסיעות,7925-510-1
8456,"טלפונים - העמסה",7925-541-7
5204,כיבודים,7925-610-2
56007,"מוסך ותחבורה - העמסה",7925-710-3
17211,דלק,7925-735-4
116018,"החזקת תחנות ניטור",7925-780-4
380217,"תחנה ניידת לבדיקת זיהום אוויר",7925-781-1
170000,"איכות הסביבה",7925-951-4
19434,"משכורת ושכר משולבים",7921-111-8
63283,תוספות,7921-112-5
49191,"החזר הוצאות",7921-113-2
48073,"הפרשות סוציאליות",7921-116-3
12902,"מסים והיטלים על השכר",7921-117-0
15565,"החזקת רכב",7921-118-7
17562,"שעות נוספות",7921-119-4
59202,"כלי רכב בליסינג תפעולי",7921-424-5
180000,"רכז תחום נגישות לנכים",7921-791-8
40343,"משכורת ושכר משולבים",7923-111-6
62739,תוספות,7923-112-3
7519,"החזר הוצאות",7923-113-0
37346,"הפרשות סוציאליות",7923-116-1
15562,"מסים והיטלים על השכר",7923-117-8
58609,"החזקת רכב",7923-118-5
30262,"שעות נוספות",7923-119-2
180000,אקולוג,7923-690-8
201118,"משכורת ושכר משולבים",7919-111-3
312760,תוספות,7919-112-0
37482,"החזר הוצאות",7919-113-7
186177,"הפרשות סוציאליות",7919-116-8
77580,"מסים והיטלים על השכר",7919-117-5
292174,"החזקת רכב",7919-118-2
150859,"שעות נוספות",7919-119-9
100000,"תחזוקה ועדכון של מודל העיר",7919-685-7
180000,"הפעלת בית המודל",7919-687-1
180000,"אדריכל פרויקטים",7919-688-8
145000,"מתאם פרויקטים לבית המודל",7919-689-5
2290358,"משכורת ושכר משולבים",8101-111-1
1062857,תוספות,8101-112-8
187304,"החזר הוצאות",8101-113-5
1017892,"הפרשות סוציאליות",8101-116-6
361353,"מסים והיטלים על השכר",8101-117-3
411056,"החזקת רכב",8101-118-0
322231,"שעות נוספות",8101-119-7
473616,"קריית העירייה - העמסה",8101-424-8
50446,"תקשורת סלולרית",8101-448-2
3424247,"משכורת ושכר משולבים",8061-111-0
4497654,תוספות,8061-112-7
429437,"החזר הוצאות",8061-113-4
2162703,"הפרשות סוציאליות",8061-116-5
667199,"מסים והיטלים על השכר",8061-117-2
147846,"החזקת רכב",8061-118-9
234830,"שעות נוספות",8061-119-6
394000,"קניית שירותי כ״א-גימנסיה",8061-216-6
1910500,"איחוד משכורות גמנסיה",8061-217-3
459263,"תחזוקת בניינים",8061-420-9
679990,"קניית שירותי ניקיון",8061-749-1
31710,"בדק בית-גימנסיה",8061-820-3
121555,"תוכניות הינוכיות-גימנסיה",8061-821-0
906457,"משכורת ושכר משולבים",8062-111-9
1526050,תוספות,8062-112-6
146838,"החזר הוצאות",8062-113-3
665648,"הפרשות סוציאליות",8062-116-4
202467,"מסים והיטלים על השכר",8062-117-1
75538,"החזקת רכב",8062-118-8
"1,560 1","שעות נוספות",8062-119-5
145300,"קניית שירותי כ״א - גיינוגלי",8062-216-5
15147,"תחזוקת בניינים",8062-420-8
86351,"קניית שירותי ניקיון",8062-749-0
990,"בדק בית-גיינוגלי",8062-820-2
3795,"תוכניות חינוכיות - גיינוגלי",8062-821-9
4523877,"משכורת ושכר משולבים",8063-111-8
4214519,תוספות,8063-112-5
523522,"החזר הוצאות",8063-113-2
2414869,"הפרשות סוציאליות",8063-116-3
729362,"מסים והיטלים על השכר",8063-117-0
221937,"החזקת רכב",8063-118-7
153968,"שעות נוספות",8063-119-4
135000,"קניית שירותי כ״א - בית חינוך",8063-216-4
2351000,"איחוד משכורות - בית חינוך",8063-217-1
384820,"תחזוקת בניינים",8063-420-7
,"כלי רכב בליסינג תפעולי",8063-424-5
626469,"קניית שירותי ניקיון",8063-749-9
24900,"בדק בית-בית חינוך",8063-820-1
95450,"תוכניות חינוכיות - בית חינוך",8063-821-8
2413883,"משכורת ושכר משולבים",8064-111-7
2216841,תוספות,8064-112-4
249674,"החזר הוצאות",8064-113-1
1279901,"הפרשות סוציאליות",8064-116-2
373632,"מסים והיטלים על השכר",8064-117-9
65898,"החזקת רכב",8064-118-6
11119,"שעות נוספות",8064-119-3
486000,"קניית שירותי כ״א - נתיב מאיר",8064-216-3
194000,"איחוד משכורות-נתיב מאיר",8064-217-0
182313,"תחזוקת בניינים",8064-420-6
11610,"בדק בית-נתיב מאיר",8064-820-0
44505,"תוכניות חינוכיות -נתיב מאיר",8064-821-7
1778767,"משכורת ושכר משולבים",8065-111-6
2712561,תוספות,8065-112-3
237010,"החזר הוצאות",8065-113-0
1224746,"הפרשות סוציאליות",8065-116-1
370383,"מסים והיטלים על השכר",8065-117-8
147222,"החזקת רכב",8065-118-5
24110,"שעות נוספות",8065-119-2
90000,"קניית שירותי כ״א - רוטשילד",8065-216-2
322000,"איחוד משכורות - רוטשילד",8065-217-9
147543,"תחזוקת בניינים",8065-420-5
329122,"קניית שירותי ניקיון",8065-749-7
9210,"בדק בית-רוטשילד",8065-820-9
35305,"תוכניות חינוכיות - רוטשילד",8065-821-6
1286553,"משכורת ושכר משולבים",8067-111-4
1783686,תוספות,8067-112-1
178488,"החזר הוצאות",8067-113-8
867435,"הפרשות סוציאליות",8067-116-9
248637,"מסים והיטלים על השכר",8067-117-6
38010,"החזקת רכב",8067-118-3
11063,"שעות נוספות",8067-119-0
60000,"קניית שירות כ״א - מעלה ערב",8067-216-0
65724,"תחזוקת בניינים",8067-420-3
97118,"קניית שירותי ניקיון",8067-749-5
3480,"בדק בית-מעלה ערב",8067-820-7
13340,"תוכניות חינוכיות-מעלה ערב",8067-821-4
3456409,"משכורת ושכר משולבים",8068-111-3
5061255,תוספות,8068-112-0
423225,"החזר הוצאות",8068-113-7
2305783,"הפרשות סוציאליות",8068-116-8
698600,"מסים והיטלים על השכר",8068-117-5
159023,"החזקת רכב",8068-118-2
79661,"שעות נוספות",8068-119-9
495000,"קניית שירותי כ״א - גילה",8068-216-9
1165500,"איחוד משכורות - גילה",8068-217-6
292788,"תחזוקת בניינים",8068-420-2
81000,"תחזוקת אשכול פיס - גילה",8068-421-9
59202,"כלי רכב בליסינג תפעולי",8068-424-0
700258,"קניית שירותי ניקיון",8068-749-4
19260,"בדק בית-גילה",8068-820-6
73830,"תוכניות חינוכיות - גילה",8068-821-3
2224153,"משכורת ושכר משולבים",8069-111-2
2988571,תוספות,8069-112-9
254876,"החזר הוצאות",8069-113-6
1374673,"הפרשות סוציאליות",8069-116-7
431008,"מסים והיטלים על השכר",8069-117-4
122286,"החזקת רכב",8069-118-1
116713,"שעות נוספות",8069-119-8
458720,"קניית שירותי כ״א - המסורתי",8069-216-8
2882000,"איחוד משכורות - המסורתי",8069-217-5
268457,"תחזוקת בניינים",8069-420-1
467126,"קניית שירותי ניקיון",8069-749-3
17490,"בדק בית-המסורתי",8069-820-5
67045,"תוכניות חינוכיות - המסורתי",8069-821-2
2641959,"משכורת ושכר משולבים",8070-111-8
3075858,תוספות,8070-112-5
342253,"החזר הוצאות",8070-113-2
1496570,"הפרשות סוציאליות",8070-116-3
478328,"מסים והיטלים על השכר",8070-117-0
152836,"החזקת רכב",8070-118-7
68505,"שעות נוספות",8070-119-4
148500,"קניית שירותי כ״א - סליגסברג",8070-216-4
1324000,"איחוד משכורות - סליגסברג",8070-217-1
228233,"תחזוקת בניינים",8070-420-7
59202,"כלי רכב בליסינג תפעולי",8070-424-5
575178,"קניית שירותי ניקיון",8070-749-9
14610,"בדק בית-סליסברג",8070-820-1
56005,"תוכניות חינוכיות - סליגסברג",8070-821-8
1554775,"משכורת ושכר משולבים",8071-111-7
1642300,תוספות,8071-112-4
202848,"החזר הוצאות",8071-113-1
816076,"הפרשות סוציאליות",8071-116-2
269210,"מסים והיטלים על השכר",8071-117-9
96367,"החזקת רכב",8071-118-6
64594,"שעות נוספות",8071-119-3
90000,"קניית שירותי כ״א - גבעת גונן",8071-216-3
851500,"איהוד משכורות - גבעת גונן",8071-217-0
159543,"תחזוקת בניינים",8071-420-6
398561,"קניית שירותי ניקיון",8071-749-8
9510,"בדק בית-גבעת גונן",8071-820-0
36455,"תוכניות חינוכיות-גבעת גונן",8071-821-7
1403367,"משכורת ושכר משולבים",8072-111-6
1677779,תוספות,8072-112-3
162616,"החזר הוצאות",8072-113-0
823388,"הפרשות סוציאליות",8072-116-1
262276,"מסים והיטלים על השכר",8072-117-8
132306,"החזקת רכב",8072-118-5
79456,"שעות נוספות",8072-119-2
334000,"קניית שירותי כ״א - הניסויי",8072-216-2
642000,"איחוד משכורות - הניסויי",8072-217-9
197139,"תחזוקת בניינים",8072-420-5
288433,"קניית שירותי ניקיון",8072-749-7
12630,"בדק בית-הניסויי",8072-820-9
48415,"תוכניות חינוכיות - הניסויי",8072-821-6
935847,"משכורת ושכר משולבים",8073-111-5
910632,תוספות,8073-112-2
106331,"החזר הוצאות",8073-113-9
492341,"הפרשות סוציאליות",8073-116-0
156048,"מסים והיטלים על השכר",8073-117-7
73485,"החזקת רכב",8073-118-4
38847,"שעות נוספות",8073-119-1
45000,"קניית שירות כ״א-קדמה",8073-216-1
686000,"איחוד משכורות - קדמה",8073-217-8
64260,"תחזוקת בניינים",8073-420-4
168689,"קניית שירותי ניקיון",8073-749-6
4200,"בדק בית-קדמה",8073-820-8
16100,"תוכניות חינוכיות - קדמה",8073-821-5
1997104,"משכורת ושכר משולבים",8074-111-4
2498995,תוספות,8074-112-1
267697,"החזר הוצאות",8074-113-8
1275277,"הפרשות סוציאליות",8074-116-9
383975,"מסים והיטלים על השכר",8074-117-6
137419,"החזקת רכב",8074-118-3
152864,"שעות נוספות",8074-119-0
39500,"קניית שירותי כ״א-קשת",8074-216-0
777000,"איחוד משכורות - קשת",8074-217-7
194748,"תחזוקת בניינים",8074-420-3
741205,"קניית שירותי ניקיון",8074-749-5
11760,"בדק בית-קשת",8074-820-7
45080,"תוכניות חינוכיות - קשת",8074-821-4
500000,"ביה״ס קשת-אחזקת מבנה",8074-822-1
1213881,"משכורת ושכר משולבים",8075-111-3
1781639,תוספות,8075-112-0
180248,"החזר הוצאות",8075-113-7
831041,"הפרשות סוציאליות",8075-116-8
245421,"מסים והיטלים על השכר",8075-117-5
60730,"החזקת רכב",8075-118-2
19380,"שעות נוספות",8075-119-9
90000,"קניית שירות כ״א - ארץ הצבי",8075-216-9
82752,"תחזוקת בניינים",8075-420-2
256113,"קניית שירותי ניקיון",8075-749-4
4440,"בדק בית-ארץ הצבי",8075-820-6
17020,"תוכניות חינוכיות-ארץ הצבי",8075-821-3
3319118,"משכורת ושכר משולבים",8076-111-2
4197098,תוספות,8076-112-9
320831,"החזר הוצאות",8076-113-6
2132367,"הפרשות סוציאליות",8076-116-7
597743,"מסים והיטלים על השכר",8076-117-4
69625,"החזקת רכב",8076-118-1
23484,"שעות נוספות",8076-119-8
145980,"תחזוקת בניינים",8076-420-1
278579,"קניית שירותי ניקיון",8076-749-3
